horizon,warmup_k,precision,fsr,n_test,n_train
250µs,1,0.3305,1.0,7973,1
250µs,5,0.3305,1.0,7973,5
250µs,10,0.851,0.0596,7973,10
250µs,50,0.7256,0.1489,7973,50
250µs,100,0.7466,0.1356,7973,100
250µs,200,0.9685,0.0127,7973,200
250µs,500,0.993,0.0026,7973,500
500µs,1,0.3119,1.0,7973,1
500µs,5,0.3119,1.0,7973,5
500µs,10,0.8421,0.0614,7973,10
500µs,50,0.7038,0.1564,7973,50
500µs,100,0.7273,0.142,7973,100
500µs,200,0.9611,0.0153,7973,200
500µs,500,0.9805,0.0071,7973,500
1ms,1,0.3113,1.0,7973,1
1ms,5,0.3113,1.0,7973,5
1ms,10,0.8421,0.0614,7973,10
1ms,50,0.7035,0.1564,7973,50
1ms,100,0.727,0.1421,7973,100
1ms,200,0.9611,0.0153,7973,200
1ms,500,0.9805,0.0071,7973,500
