horizon,decile,precision,fsr,n
250µs,1,0.9941,0.0028,1594
250µs,2,0.9855,0.0064,1595
250µs,3,0.9929,0.0026,1594
250µs,4,0.963,0.0159,1595
250µs,5,0.9304,0.0302,1594
250µs,6,0.9408,0.0235,1595
250µs,7,0.9567,0.0232,1594
250µs,8,0.9932,0.0027,1595
250µs,9,0.9905,0.0049,1594
250µs,10,0.9741,0.0122,1595
500µs,1,0.9898,0.0047,1594
500µs,2,0.9936,0.0027,1595
500µs,3,0.9976,0.0009,1594
500µs,4,0.9069,0.0356,1595
500µs,5,0.9258,0.0291,1594
500µs,6,0.9449,0.0216,1595
500µs,7,0.9527,0.0235,1594
500µs,8,0.9748,0.0095,1595
500µs,9,0.9905,0.0049,1594
500µs,10,0.982,0.0083,1595
1ms,1,0.9919,0.0037,1594
1ms,2,0.9915,0.0036,1595
1ms,3,0.9929,0.0026,1594
1ms,4,0.9022,0.0372,1595
1ms,5,0.9298,0.0274,1594
1ms,6,0.9449,0.0216,1595
1ms,7,0.947,0.0263,1594
1ms,8,0.9838,0.006,1595
1ms,9,0.9906,0.0049,1594
1ms,10,0.982,0.0083,1595
