path_id,total,safe,unsafe
435,1,1,0
4167,3,3,0
8351,3,3,0
8737,1,1,0
8898,3,3,0
10714,1,1,0
12702,22,22,0
15738,8,8,0
17214,1,1,0
18787,14,14,0
24721,263,263,0
25752,13,13,0
28801,252,252,0
30783,1,1,0
32085,14,14,0
32173,1,1,0
33139,228,228,0
33158,1,1,0
38170,302,302,0
39006,260,260,0
39472,29,29,0
41769,2,2,0
45135,3,3,0
46500,1,1,0
47117,1,1,0
47118,1,1,0
48184,14,14,0
49095,1,1,0
51468,316,316,0
53399,1,1,0
54504,48,48,0
55736,2,2,0
58584,338,338,0
60467,2,2,0
61891,249,249,0
64518,5,5,0
