path_id,total,safe,unsafe
435,2,2,0
964,5,5,0
4013,11,11,0
4167,4,4,0
5338,2,2,0
8351,243,243,0
8737,1,1,0
8898,31,31,0
10714,1,1,0
11400,4,4,0
12702,423,423,0
13629,2,2,0
15738,610,610,0
17214,1,1,0
18787,471,471,0
20089,2,2,0
23396,3,3,0
24721,20355,20355,0
25752,339,339,0
28801,20052,20052,0
30783,11,11,0
32085,323,323,0
32173,1,1,0
33139,19664,19664,0
33158,1,1,0
38170,19746,19746,0
39006,20385,20385,0
39472,675,675,0
41769,5,5,0
45135,50,50,0
46500,2,2,0
46859,3,3,0
47117,156,156,0
47118,1,1,0
48184,339,339,0
49095,1,1,0
51197,10,10,0
51468,18949,18949,0
53399,1,1,0
54504,517,517,0
55736,13,13,0
58584,20373,20373,0
60467,2,2,0
61891,19346,19346,0
64518,339,339,0
