path_id,total,safe,unsafe
435,2,0,2
964,5,0,5
4013,11,2,9
4167,4,1,3
5338,2,1,1
8351,243,61,182
8737,1,0,1
8898,31,0,31
10714,1,0,1
11400,4,1,3
12702,423,105,318
13629,2,0,2
15738,610,137,473
17214,1,1,0
18787,471,117,354
20089,2,1,1
23396,3,0,3
24721,20355,6015,14340
25752,339,87,252
28801,20052,5928,14124
30783,11,2,9
32085,323,80,243
32173,1,1,0
33139,19664,5834,13830
33158,1,1,0
38170,19746,5891,13855
39006,20385,6016,14369
39472,675,171,504
41769,5,0,5
45135,50,13,37
46500,2,0,2
46859,3,0,3
47117,156,41,115
47118,1,1,0
48184,339,85,254
49095,1,1,0
51197,10,2,8
51468,18949,5657,13292
53399,1,0,1
54504,517,262,255
55736,13,0,13
58584,20373,6017,14356
60467,2,0,2
61891,19346,5777,13569
64518,339,86,253
