path_id,total,bw,normal,tiny,unsafe
4013,2,0,2,0,1
8351,234,67,167,0,159
12702,414,102,312,0,285
15738,512,188,305,19,335
18787,462,119,343,0,318
24721,12764,7077,4865,822,5617
25752,330,80,250,0,223
28801,12436,6992,4612,832,5389
30783,2,0,2,0,1
32085,314,0,314,0,209
33139,12088,6923,4304,861,5131
38170,12255,7040,4390,825,5264
39006,12798,7067,4867,864,5607
39472,666,197,469,0,457
45135,41,41,0,0,32
47117,147,55,92,0,101
48184,330,46,284,0,224
51197,1,1,0,0,1
51468,11336,6780,3735,821,4635
54504,508,508,0,0,250
55736,4,0,0,4,0
58584,12782,7046,4872,864,5582
61891,11912,6932,4162,818,5064
64518,330,73,257,0,223
