path_id,total,bw,normal,tiny,unsafe
435,1,0,0,1,0
4167,3,0,0,3,0
8351,3,0,0,3,0
8737,1,0,0,1,0
8898,3,0,0,3,0
10714,1,0,0,1,0
12702,22,0,0,22,0
15738,8,0,0,8,0
17214,1,0,0,1,0
18787,14,0,0,14,0
24721,263,0,0,263,0
25752,13,0,0,13,0
28801,252,0,0,252,0
30783,1,0,0,1,0
32085,14,0,0,14,0
32173,1,0,0,1,0
33139,228,0,0,228,0
33158,1,0,0,1,0
38170,302,0,0,302,0
39006,260,0,0,260,0
39472,29,0,0,29,0
41769,2,0,0,2,0
45135,3,0,0,3,0
46500,1,0,0,1,0
47117,1,0,0,1,0
47118,1,0,0,1,0
48184,14,0,0,14,0
49095,1,0,0,1,0
51468,316,0,0,316,0
53399,1,0,0,1,0
54504,48,0,0,48,0
55736,2,0,0,2,0
58584,338,0,0,338,0
60467,2,0,0,2,0
61891,249,0,0,249,0
64518,5,0,0,5,0
