path_id,total,bw,normal,tiny,unsafe
4013,2,0,0,2,0
8351,234,2,0,232,0
8898,22,0,0,22,0
12702,414,2,0,412,0
15738,601,51,6,544,0
18787,462,1,1,460,0
24721,20346,4700,446,15200,0
25752,330,0,0,330,0
28801,20043,4696,438,14909,0
30783,2,0,0,2,0
32085,314,0,0,314,0
33139,19655,4696,448,14511,0
38170,19737,4702,449,14586,0
39006,20376,4700,437,15239,0
39472,666,4,0,662,0
45135,41,0,0,41,0
47117,147,1,0,146,0
48184,330,0,0,330,0
51197,1,0,0,1,0
51468,18940,4701,444,13795,0
54504,508,256,95,157,0
55736,4,0,0,4,0
58584,20364,4705,441,15218,0
61891,19337,4636,448,14253,0
64518,330,0,1,329,0
