path_id,total,bw,normal,tiny,unsafe
435,2,0,0,2,0
964,5,0,1,4,0
4013,11,2,1,8,0
4167,4,1,1,2,0
5338,2,1,0,1,0
8351,243,61,21,161,0
8737,1,0,1,0,0
8898,31,0,1,30,0
10714,1,0,1,0,0
11400,4,1,0,3,0
12702,423,105,35,283,0
13629,2,0,0,2,0
15738,610,137,34,439,0
17214,1,1,0,0,0
18787,471,117,39,315,0
20089,2,1,0,1,0
23396,3,0,0,3,0
24721,20355,6015,859,13481,0
25752,339,87,27,225,0
28801,20052,5928,828,13296,0
30783,11,2,1,8,0
32085,323,80,28,215,0
32173,1,1,0,0,0
33139,19664,5834,800,13030,0
33158,1,1,0,0,0
38170,19746,5891,811,13044,0
39006,20385,6016,859,13510,0
39472,675,171,55,449,0
41769,5,0,1,4,0
45135,50,13,4,33,0
46500,2,0,0,2,0
46859,3,0,0,3,0
47117,156,41,12,103,0
47118,1,1,0,0,0
48184,339,85,28,226,0
49095,1,1,0,0,0
51197,10,2,1,7,0
51468,18949,5657,739,12553,0
53399,1,0,1,0,0
54504,517,262,252,3,0
55736,13,0,1,12,0
58584,20373,6017,852,13504,0
60467,2,0,1,1,0
61891,19346,5777,784,12785,0
64518,339,86,28,225,0
