path_id,total,bw,normal,tiny,unsafe
435,2,0,2,0,2
964,5,1,4,0,5
4013,11,3,8,0,9
4167,4,2,2,0,3
5338,2,1,1,0,1
8351,243,82,161,0,182
8737,1,1,0,0,1
8898,31,1,30,0,31
10714,1,1,0,0,1
11400,4,1,3,0,3
12702,423,140,283,0,318
13629,2,0,2,0,2
15738,610,171,439,0,473
17214,1,1,0,0,0
18787,471,156,315,0,354
20089,2,1,1,0,1
23396,3,0,3,0,3
24721,20355,6874,13481,0,14340
25752,339,114,225,0,252
28801,20052,6756,13296,0,14124
30783,11,3,8,0,9
32085,323,108,215,0,243
32173,1,1,0,0,0
33139,19664,6634,13030,0,13830
33158,1,1,0,0,0
38170,19746,6702,13044,0,13855
39006,20385,6875,13510,0,14369
39472,675,226,449,0,504
41769,5,1,4,0,5
45135,50,17,33,0,37
46500,2,0,2,0,2
46859,3,0,3,0,3
47117,156,53,103,0,115
47118,1,1,0,0,0
48184,339,113,226,0,254
49095,1,1,0,0,0
51197,10,3,7,0,8
51468,18949,6396,12553,0,13292
53399,1,1,0,0,1
54504,517,514,3,0,255
55736,13,1,12,0,13
58584,20373,6869,13504,0,14356
60467,2,1,1,0,2
61891,19346,6561,12785,0,13569
64518,339,114,225,0,253
