index,path_id,bandwidth_gbps,is_degraded
0,36012,15.10,0
1,36012,14.60,0
2,65441,17.00,0
3,65441,18.30,0
4,31572,19.90,0
5,31572,19.90,0
6,36012,19.90,0
7,36012,13.10,0
8,36012,17.40,0
9,36012,17.40,0
10,35431,20.40,0
11,35431,15.40,0
12,31572,20.60,0
13,31572,14.80,0
14,35431,20.40,0
15,35431,20.50,0
16,36012,20.50,0
17,36012,20.30,0
18,36012,20.40,0
19,56659,14.50,0
20,56659,20.20,0
21,56659,20.60,0
22,56659,20.30,0
23,35431,20.40,0
24,35431,19.70,0
25,35431,20.40,0
26,35431,20.10,0
27,16513,12.80,0
28,16513,16.10,0
29,16513,16.90,0
30,16513,19.80,0
31,16513,19.60,0
32,16513,15.90,0
33,16513,13.60,0
34,16513,11.80,1
35,16513,9.60,1
36,16513,19.20,0
37,16513,18.70,0
38,16513,19.50,0
39,16513,13.40,0
40,16513,19.50,0
41,16513,20.40,0
42,16513,15.30,0
43,16513,19.70,0
44,16513,19.70,0
45,16513,20.20,0
46,16513,16.60,0
47,16513,19.90,0
48,16513,19.80,0
49,16513,20.40,0
50,16513,8.70,1
51,16513,19.70,0
52,16513,18.90,0
53,16513,11.90,1
54,16513,12.90,0
55,16513,19.90,0
56,16513,9.40,1
57,16513,8.90,1
58,16513,19.20,0
59,16513,11.70,1
60,16513,14.30,0
61,16513,10.80,1
62,16513,16.70,0
63,16513,16.30,0
64,16513,19.90,0
65,16513,17.80,0
66,16513,19.10,0
67,16513,19.90,0
68,16513,19.70,0
69,16513,10.70,1
70,16513,14.40,0
71,16513,15.40,0
72,16513,11.20,1
73,16513,9.40,1
74,16513,19.60,0
75,16513,10.30,1
76,16513,17.50,0
77,16513,10.60,1
78,16513,18.90,0
79,16513,9.40,1
80,16513,19.30,0
81,16513,20.00,0
82,16513,19.30,0
83,16513,19.70,0
84,16513,19.70,0
85,16513,20.20,0
86,16513,12.30,1
87,16513,19.60,0
88,16513,17.60,0
89,16513,10.80,1
90,16513,19.80,0
91,16513,10.10,1
92,16513,19.70,0
93,16513,20.40,0
94,16513,19.90,0
95,16513,19.80,0
96,16513,19.70,0
97,16513,20.10,0
98,16513,9.10,1
99,16513,12.10,1
100,16513,13.20,0
101,16513,20.30,0
102,16513,19.90,0
103,16513,19.60,0
104,16513,19.70,0
105,16513,18.40,0
106,16513,10.40,1
107,16513,16.20,0
108,16513,12.50,0
109,16513,10.80,1
110,16513,17.10,0
111,16513,11.20,1
112,16513,14.40,0
113,16513,19.90,0
114,16513,19.90,0
115,16513,16.20,0
116,16513,14.40,0
117,16513,19.60,0
118,16513,9.80,1
119,16513,17.90,0
120,16513,9.00,1
121,16513,13.00,0
