[Thu Jun 11 23:51:01 CST 2026] 等待 20 分钟建立基线...
[Thu Jun 11 23:51:01 CST 2026] === 第1次注入: 轻度拥塞 (20ms, 5min) ===
✓ ProbeExecutor 初始化成功 (设备 0)
  Buffer 大小: 128 MB (probe_bandwidth 固定)
  间隔: 20 ms
  方向: D2H

============================================================
带宽竞争注入器启动 (基于 ProbeExecutor)
  按 Ctrl+C 停止
============================================================
  [1.4s] 50 copies, 6.25 GB, avg 4.50 GB/s
  [2.8s] 100 copies, 12.50 GB, avg 4.50 GB/s
  [4.2s] 150 copies, 18.75 GB, avg 4.50 GB/s
  [5.6s] 200 copies, 25.00 GB, avg 4.50 GB/s
  [6.9s] 250 copies, 31.25 GB, avg 4.50 GB/s
  [8.3s] 300 copies, 37.50 GB, avg 4.50 GB/s
  [9.7s] 350 copies, 43.75 GB, avg 4.50 GB/s
  [11.1s] 400 copies, 50.00 GB, avg 4.50 GB/s
  [12.5s] 450 copies, 56.25 GB, avg 4.49 GB/s
  [13.9s] 500 copies, 62.50 GB, avg 4.49 GB/s
  [15.3s] 550 copies, 68.75 GB, avg 4.49 GB/s
  [16.7s] 600 copies, 75.00 GB, avg 4.49 GB/s
  [18.1s] 650 copies, 81.25 GB, avg 4.49 GB/s
  [19.5s] 700 copies, 87.50 GB, avg 4.49 GB/s
  [20.9s] 750 copies, 93.75 GB, avg 4.49 GB/s
  [22.3s] 800 copies, 100.00 GB, avg 4.49 GB/s
  [23.7s] 850 copies, 106.25 GB, avg 4.49 GB/s
  [25.1s] 900 copies, 112.50 GB, avg 4.49 GB/s
  [26.5s] 950 copies, 118.75 GB, avg 4.49 GB/s
  [27.9s] 1000 copies, 125.00 GB, avg 4.49 GB/s
  [29.3s] 1050 copies, 131.25 GB, avg 4.49 GB/s
  [30.6s] 1100 copies, 137.50 GB, avg 4.49 GB/s
  [32.0s] 1150 copies, 143.75 GB, avg 4.49 GB/s
  [33.4s] 1200 copies, 150.00 GB, avg 4.49 GB/s
  [34.8s] 1250 copies, 156.25 GB, avg 4.49 GB/s
  [36.2s] 1300 copies, 162.50 GB, avg 4.49 GB/s
  [37.6s] 1350 copies, 168.75 GB, avg 4.49 GB/s
  [39.0s] 1400 copies, 175.00 GB, avg 4.49 GB/s
  [40.4s] 1450 copies, 181.25 GB, avg 4.49 GB/s
  [41.8s] 1500 copies, 187.50 GB, avg 4.49 GB/s
  [43.2s] 1550 copies, 193.75 GB, avg 4.49 GB/s
  [44.5s] 1600 copies, 200.00 GB, avg 4.49 GB/s
  [45.9s] 1650 copies, 206.25 GB, avg 4.49 GB/s
  [47.3s] 1700 copies, 212.50 GB, avg 4.49 GB/s
  [48.7s] 1750 copies, 218.75 GB, avg 4.49 GB/s
  [50.1s] 1800 copies, 225.00 GB, avg 4.49 GB/s
  [51.5s] 1850 copies, 231.25 GB, avg 4.49 GB/s
  [52.9s] 1900 copies, 237.50 GB, avg 4.49 GB/s
  [54.3s] 1950 copies, 243.75 GB, avg 4.49 GB/s
  [55.7s] 2000 copies, 250.00 GB, avg 4.49 GB/s
  [57.1s] 2050 copies, 256.25 GB, avg 4.49 GB/s
  [58.5s] 2100 copies, 262.50 GB, avg 4.49 GB/s
  [59.8s] 2150 copies, 268.75 GB, avg 4.49 GB/s
  [61.2s] 2200 copies, 275.00 GB, avg 4.49 GB/s
  [62.6s] 2250 copies, 281.25 GB, avg 4.49 GB/s
  [64.0s] 2300 copies, 287.50 GB, avg 4.49 GB/s
  [65.4s] 2350 copies, 293.75 GB, avg 4.49 GB/s
  [66.8s] 2400 copies, 300.00 GB, avg 4.49 GB/s
  [68.2s] 2450 copies, 306.25 GB, avg 4.49 GB/s
  [69.6s] 2500 copies, 312.50 GB, avg 4.49 GB/s
  [71.0s] 2550 copies, 318.75 GB, avg 4.49 GB/s
  [72.3s] 2600 copies, 325.00 GB, avg 4.49 GB/s
  [73.7s] 2650 copies, 331.25 GB, avg 4.49 GB/s
  [75.1s] 2700 copies, 337.50 GB, avg 4.49 GB/s
  [76.5s] 2750 copies, 343.75 GB, avg 4.49 GB/s
  [77.9s] 2800 copies, 350.00 GB, avg 4.49 GB/s
  [79.3s] 2850 copies, 356.25 GB, avg 4.49 GB/s
  [80.7s] 2900 copies, 362.50 GB, avg 4.49 GB/s
  [82.1s] 2950 copies, 368.75 GB, avg 4.49 GB/s
  [83.5s] 3000 copies, 375.00 GB, avg 4.49 GB/s
  [84.9s] 3050 copies, 381.25 GB, avg 4.49 GB/s
  [86.2s] 3100 copies, 387.50 GB, avg 4.49 GB/s
  [87.6s] 3150 copies, 393.75 GB, avg 4.49 GB/s
  [89.0s] 3200 copies, 400.00 GB, avg 4.49 GB/s
  [90.4s] 3250 copies, 406.25 GB, avg 4.49 GB/s
  [91.8s] 3300 copies, 412.50 GB, avg 4.49 GB/s
  [93.2s] 3350 copies, 418.75 GB, avg 4.49 GB/s
  [94.6s] 3400 copies, 425.00 GB, avg 4.49 GB/s
  [96.0s] 3450 copies, 431.25 GB, avg 4.49 GB/s
  [97.4s] 3500 copies, 437.50 GB, avg 4.49 GB/s
  [98.8s] 3550 copies, 443.75 GB, avg 4.49 GB/s
  [100.2s] 3600 copies, 450.00 GB, avg 4.49 GB/s
  [101.6s] 3650 copies, 456.25 GB, avg 4.49 GB/s
  [103.0s] 3700 copies, 462.50 GB, avg 4.49 GB/s
  [104.4s] 3750 copies, 468.75 GB, avg 4.49 GB/s
  [105.7s] 3800 copies, 475.00 GB, avg 4.49 GB/s
  [107.2s] 3850 copies, 481.25 GB, avg 4.49 GB/s
  [108.6s] 3900 copies, 487.50 GB, avg 4.49 GB/s
  [110.0s] 3950 copies, 493.75 GB, avg 4.49 GB/s
  [111.4s] 4000 copies, 500.00 GB, avg 4.49 GB/s
