Linux 4.19.90-vhulk2204.1.0.h1160.eulerosv2r10.aarch64 (bms-9002) 	06/14/2026 	_aarch64_	(192 CPU)

09:52:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:52:41 PM  all    2.19    0.00    1.55    0.00    0.29    0.23    0.00    0.00    0.00   95.74
09:52:43 PM  all    1.71    0.00    2.92    0.00    0.17    0.09    0.00    0.00    0.00   95.11
09:52:45 PM  all    1.84    0.00    2.64    0.00    0.17    0.10    0.00    0.00    0.00   95.25
09:52:47 PM  all    3.01    0.00    1.50    0.00    0.16    0.11    0.00    0.00    0.00   95.22
09:52:49 PM  all    2.45    0.00    1.12    0.00    0.18    0.52    0.00    0.00    0.00   95.72
09:52:51 PM  all    0.24    0.00    0.32    0.00    0.14    0.08    0.00    0.00    0.00   99.22
09:52:53 PM  all    1.84    0.00    0.69    0.00    0.18    0.09    0.00    0.00    0.00   97.20
09:52:55 PM  all    0.25    0.00    0.47    0.00    0.14    0.10    0.00    0.00    0.00   99.04
09:52:57 PM  all    0.30    0.00    0.48    0.01    0.16    0.10    0.00    0.00    0.00   98.95
09:52:59 PM  all    0.20    0.00    0.54    0.00    0.16    0.10    0.00    0.00    0.00   99.00
09:53:01 PM  all    0.11    0.00    0.32    0.00    0.14    0.10    0.00    0.00    0.00   99.33
09:53:03 PM  all    0.27    0.00    0.60    0.00    0.14    0.08    0.00    0.00    0.00   98.91
09:53:05 PM  all    0.41    0.00    0.60    0.00    0.17    0.11    0.00    0.00    0.00   98.71
09:53:07 PM  all    0.23    0.00    0.47    0.00    0.13    0.08    0.00    0.00    0.00   99.09
09:53:09 PM  all    0.15    0.00    0.32    0.00    0.17    0.10    0.00    0.00    0.00   99.25
09:53:11 PM  all    0.21    0.00    0.48    0.01    0.12    0.11    0.00    0.00    0.00   99.08
09:53:13 PM  all    0.29    0.00    0.49    0.00    0.16    0.10    0.00    0.00    0.00   98.97
09:53:15 PM  all    0.20    0.00    0.53    0.00    0.16    0.08    0.00    0.00    0.00   99.02
09:53:17 PM  all    0.33    0.00    0.55    0.00    0.15    0.09    0.00    0.00    0.00   98.88
09:53:19 PM  all    0.08    0.00    0.32    0.00    0.15    0.12    0.00    0.00    0.00   99.33
09:53:21 PM  all    0.19    0.00    0.51    0.00    0.14    0.07    0.00    0.00    0.00   99.09
09:53:23 PM  all    0.30    0.00    0.48    0.00    0.16    0.09    0.00    0.00    0.00   98.96
09:53:25 PM  all    0.21    0.00    0.63    0.00    0.15    0.09    0.00    0.00    0.00   98.91
09:53:27 PM  all    0.19    0.00    0.33    0.00    0.15    0.12    0.00    0.00    0.00   99.21
09:53:29 PM  all    0.09    0.00    0.35    0.00    0.14    0.09    0.00    0.00    0.00   99.33
09:53:31 PM  all    0.35    0.00    0.64    0.00    0.16    0.10    0.00    0.00    0.00   98.76
09:53:33 PM  all    0.25    0.00    0.52    0.00    0.14    0.08    0.00    0.00    0.00   99.01
09:53:35 PM  all    0.26    0.00    0.54    0.00    0.16    0.10    0.00    0.00    0.00   98.93
09:53:37 PM  all    0.12    0.00    0.25    0.00    0.15    0.11    0.00    0.00    0.00   99.38
09:53:39 PM  all    0.27    0.00    0.52    0.00    0.14    0.10    0.00    0.00    0.00   98.97
09:53:41 PM  all    0.24    0.00    0.54    0.00    0.16    0.10    0.00    0.00    0.00   98.96
09:53:43 PM  all    0.37    0.00    0.58    0.00    0.14    0.10    0.00    0.00    0.00   98.81
09:53:45 PM  all    0.18    0.00    0.47    0.00    0.15    0.08    0.00    0.00    0.00   99.13
09:53:47 PM  all    0.19    0.00    0.37    0.00    0.16    0.10    0.00    0.00    0.00   99.18
09:53:49 PM  all    0.23    0.00    0.42    0.00    0.15    0.07    0.00    0.00    0.00   99.13
09:53:51 PM  all    0.27    0.00    0.57    0.00    0.15    0.12    0.00    0.00    0.00   98.89
09:53:53 PM  all    0.22    0.00    0.44    0.00    0.16    0.10    0.00    0.00    0.00   99.08
09:53:55 PM  all    0.10    0.00    0.17    0.00    0.15    0.09    0.00    0.00    0.00   99.49
09:53:57 PM  all    0.29    0.00    0.66    0.00    0.16    0.09    0.00    0.00    0.00   98.80
09:53:59 PM  all    0.19    0.00    0.48    0.00    0.13    0.09    0.00    0.00    0.00   99.11
09:54:01 PM  all    0.23    0.00    0.45    0.00    0.15    0.10    0.00    0.00    0.00   99.06
09:54:03 PM  all    0.25    0.00    0.60    0.00    0.15    0.09    0.00    0.00    0.00   98.92
09:54:05 PM  all    0.11    0.00    0.30    0.00    0.17    0.10    0.00    0.00    0.00   99.31
09:54:07 PM  all    0.22    0.00    0.54    0.00    0.14    0.11    0.00    0.00    0.00   98.99
09:54:09 PM  all    0.30    0.00    0.54    0.00    0.16    0.11    0.00    0.00    0.00   98.90
09:54:11 PM  all    0.25    0.00    0.51    0.00    0.16    0.09    0.00    0.00    0.00   99.00
09:54:13 PM  all    0.17    0.00    0.28    0.00    0.14    0.08    0.00    0.00    0.00   99.33
09:54:15 PM  all    0.16    0.00    0.48    0.00    0.14    0.09    0.00    0.00    0.00   99.13
09:54:17 PM  all    0.23    0.00    0.52    0.00    0.15    0.11    0.00    0.00    0.00   99.00
09:54:19 PM  all    0.17    0.00    0.57    0.00    0.14    0.10    0.00    0.00    0.00   99.02
09:54:21 PM  all    0.21    0.00    0.52    0.00    0.17    0.12    0.00    0.00    0.00   98.99
09:54:23 PM  all    0.24    0.00    0.41    0.00    0.16    0.09    0.00    0.00    0.00   99.10
09:54:25 PM  all    0.25    0.00    0.52    0.00    0.14    0.09    0.00    0.00    0.00   99.01
09:54:27 PM  all    0.18    0.00    0.42    0.00    0.14    0.09    0.00    0.00    0.00   99.15
09:54:29 PM  all    0.29    0.00    0.60    0.00    0.14    0.09    0.00    0.00    0.00   98.88
09:54:31 PM  all    0.22    0.00    0.50    0.00    0.14    0.11    0.00    0.00    0.00   99.03
09:54:33 PM  all    0.12    0.00    0.30    0.00    0.17    0.09    0.00    0.00    0.00   99.31
09:54:35 PM  all    0.38    0.00    0.57    0.00    0.15    0.11    0.00    0.00    0.00   98.79
09:54:37 PM  all    0.20    0.00    0.47    0.00    0.17    0.07    0.00    0.00    0.00   99.09
09:54:39 PM  all    0.21    0.00    0.46    0.00    0.13    0.11    0.00    0.00    0.00   99.08
09:54:41 PM  all    0.05    0.00    0.31    0.00    0.13    0.10    0.00    0.00    0.00   99.42
09:54:43 PM  all    0.28    0.00    0.53    0.00    0.17    0.10    0.00    0.00    0.00   98.92
09:54:45 PM  all    0.23    0.00    0.53    0.00    0.14    0.11    0.00    0.00    0.00   99.00
09:54:47 PM  all    0.18    0.00    0.46    0.00    0.14    0.10    0.00    0.00    0.00   99.12
09:54:49 PM  all    0.29    0.00    0.57    0.00    0.17    0.09    0.00    0.00    0.00   98.87
09:54:51 PM  all    0.14    0.00    0.35    0.00    0.15    0.07    0.00    0.00    0.00   99.29
09:54:53 PM  all    0.25    0.00    0.46    0.00    0.17    0.11    0.00    0.00    0.00   99.01
09:54:55 PM  all    0.17    0.00    0.46    0.00    0.14    0.08    0.00    0.00    0.00   99.15
09:54:57 PM  all    0.17    0.00    0.54    0.00    0.16    0.11    0.00    0.00    0.00   99.02
09:54:59 PM  all    0.15    0.00    0.29    0.00    0.14    0.09    0.00    0.00    0.00   99.34
09:55:01 PM  all    0.26    0.00    0.64    0.00    0.13    0.09    0.00    0.00    0.00   98.89
09:55:03 PM  all    0.20    0.00    0.49    0.00    0.15    0.09    0.00    0.00    0.00   99.07
09:55:05 PM  all    0.18    0.00    0.51    0.00    0.18    0.09    0.00    0.00    0.00   99.03
09:55:07 PM  all    0.20    0.00    0.58    0.00    0.15    0.10    0.00    0.00    0.00   98.96
09:55:09 PM  all    0.05    0.00    0.24    0.00    0.14    0.10    0.00    0.00    0.00   99.47
09:55:11 PM  all    0.19    0.00    0.44    0.00    0.14    0.10    0.00    0.00    0.00   99.12
09:55:13 PM  all    0.30    0.00    0.59    0.00    0.16    0.09    0.00    0.00    0.00   98.86
09:55:15 PM  all    0.29    0.00    0.49    0.00    0.16    0.10    0.00    0.00    0.00   98.96
09:55:17 PM  all    0.23    0.00    0.46    0.00    0.14    0.09    0.00    0.00    0.00   99.08
09:55:19 PM  all    0.11    0.00    0.39    0.00    0.18    0.10    0.00    0.00    0.00   99.21
09:55:21 PM  all    0.23    0.00    0.38    0.00    0.13    0.09    0.00    0.00    0.00   99.17
09:55:23 PM  all    0.29    0.00    0.58    0.00    0.14    0.10    0.00    0.00    0.00   98.90
09:55:25 PM  all    0.18    0.00    0.45    0.00    0.16    0.11    0.00    0.00    0.00   99.10
09:55:27 PM  all    0.21    0.00    0.31    0.00    0.16    0.11    0.00    0.00    0.00   99.20
09:55:29 PM  all    0.36    0.00    0.58    0.00    0.14    0.07    0.00    0.00    0.00   98.84
09:55:31 PM  all    0.29    0.00    0.51    0.00    0.16    0.09    0.00    0.00    0.00   98.96
09:55:33 PM  all    0.22    0.00    0.48    0.00    0.13    0.08    0.00    0.00    0.00   99.08
09:55:35 PM  all    0.20    0.00    0.49    0.00    0.14    0.10    0.00    0.00    0.00   99.07
09:55:37 PM  all    0.11    0.00    0.31    0.00    0.17    0.10    0.00    0.00    0.00   99.30
09:55:39 PM  all    0.26    0.00    0.59    0.00    0.14    0.10    0.00    0.00    0.00   98.92
09:55:41 PM  all    0.30    0.00    0.59    0.00    0.16    0.09    0.00    0.00    0.00   98.86
09:55:43 PM  all    0.21    0.00    0.47    0.00    0.16    0.09    0.00    0.00    0.00   99.08
09:55:45 PM  all    0.16    0.00    0.45    0.00    0.13    0.10    0.00    0.00    0.00   99.15
09:55:47 PM  all    0.08    0.00    0.36    0.00    0.15    0.10    0.00    0.00    0.00   99.31
09:55:49 PM  all    0.21    0.00    0.49    0.00    0.16    0.11    0.00    0.00    0.00   99.04
09:55:51 PM  all    0.33    0.00    0.57    0.00    0.15    0.07    0.00    0.00    0.00   98.87
09:55:53 PM  all    0.17    0.00    0.51    0.00    0.16    0.09    0.00    0.00    0.00   99.07
09:55:55 PM  all    0.23    0.00    0.43    0.00    0.15    0.10    0.00    0.00    0.00   99.10
09:55:57 PM  all    0.20    0.00    0.48    0.00    0.15    0.10    0.00    0.00    0.00   99.07
09:55:59 PM  all    0.17    0.00    0.53    0.00    0.15    0.10    0.00    0.00    0.00   99.05
09:56:01 PM  all    0.23    0.00    0.57    0.00    0.16    0.09    0.00    0.00    0.00   98.95
09:56:03 PM  all    0.28    0.00    0.53    0.00    0.13    0.09    0.00    0.00    0.00   98.97
09:56:05 PM  all    0.10    0.00    0.23    0.00    0.15    0.09    0.00    0.00    0.00   99.42
09:56:07 PM  all    0.61    0.00    0.71    0.00    0.15    0.09    0.00    0.00    0.00   98.44
09:56:09 PM  all    0.30    0.00    0.44    0.00    0.16    0.12    0.00    0.00    0.00   98.99
09:56:11 PM  all    0.34    0.00    0.54    0.00    0.16    0.09    0.00    0.00    0.00   98.87
09:56:13 PM  all    0.12    0.00    0.34    0.00    0.14    0.07    0.00    0.00    0.00   99.33
09:56:15 PM  all    0.26    0.00    0.39    0.00    0.14    0.09    0.00    0.00    0.00   99.13
09:56:17 PM  all    0.24    0.00    0.59    0.00    0.16    0.11    0.00    0.00    0.00   98.91
09:56:19 PM  all    0.22    0.00    0.41    0.00    0.16    0.09    0.00    0.00    0.00   99.13
09:56:21 PM  all    0.29    0.00    0.53    0.00    0.15    0.13    0.00    0.00    0.00   98.90
09:56:23 PM  all    0.14    0.00    0.35    0.00    0.14    0.07    0.00    0.00    0.00   99.30
09:56:25 PM  all    0.23    0.00    0.50    0.00    0.13    0.11    0.00    0.00    0.00   99.03
09:56:27 PM  all    0.20    0.00    0.44    0.00    0.14    0.07    0.00    0.00    0.00   99.15
09:56:29 PM  all    0.17    0.00    0.51    0.00    0.15    0.11    0.00    0.00    0.00   99.06
09:56:31 PM  all    0.16    0.00    0.47    0.00    0.14    0.08    0.00    0.00    0.00   99.15
09:56:33 PM  all    0.31    0.00    0.49    0.00    0.16    0.12    0.00    0.00    0.00   98.92
09:56:35 PM  all    0.43    0.00    0.53    0.00    0.15    0.09    0.00    0.00    0.00   98.80
