WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
11246712730382320,11246712730424010,Host(NUMA 6),NPU 2,0.06,1.57,1781444226307876100,1781444226307917790,0.042,1
11246712807109110,11246712807146390,Host(NUMA 4),NPU 0,0.06,1.76,1781444226382292580,1781444226382329860,0.037,1
11246712968663950,11246712968701140,Host(NUMA 3),NPU 1,0.06,1.76,1781444226544168440,1781444226544205630,0.037,1
11246717202464960,11246717202502910,Host(NUMA 7),NPU 3,0.06,1.73,1781444230777949090,1781444230777987040,0.038,1
11246720813639800,11246720813676220,Host(NUMA 2),NPU 4,0.06,1.80,1781444234389132660,1781444234389169080,0.036,1
11246721184883480,11246721184921740,Host(NUMA 0),NPU 7,0.06,1.71,1781444234760322660,1781444234760360920,0.038,1
11246725285536920,11246725285567710,Host(NUMA 5),NPU 5,0.06,2.13,1781444238861003930,1781444238861034720,0.031,1
11246725413664250,11246725413703510,Host(NUMA 1),NPU 6,0.06,1.67,1781444238988792490,1781444238988831750,0.039,1
11246790544151140,11246790572328510,Host(NUMA 5),Device ?,509.88,18.97,1781444304119664530,1781444304147841900,28.177,1
11246790572447620,11246790573622730,Host(NUMA 5),Device ?,12.00,10.71,1781444304147545920,1781444304148721030,1.175,1
11246790573678450,11246790574177210,Host(NUMA 5),Device ?,4.00,8.41,1781444304148772300,1781444304149271060,0.499,1
11246790574228910,11246790575195960,Host(NUMA 5),Device ?,16.00,17.35,1781444304149317130,1781444304150284180,0.967,1
11246790575251280,11246790576207240,Host(NUMA 5),Device ?,16.00,17.55,1781444304150339600,1781444304151295560,0.956,1
11246790576258470,11246790577049890,Host(NUMA 5),Device ?,12.00,15.90,1781444304151345270,1781444304152136690,0.791,1
11246790548838940,11246790577083610,Host(NUMA 7),Device ?,509.88,18.93,1781444304124243850,1781444304152488520,28.245,1
11246790577098600,11246790577442320,Host(NUMA 5),Device ?,4.00,12.20,1781444304152413960,1781444304152757680,0.344,1
11246790577203520,11246790578287780,Host(NUMA 7),Device ?,12.00,11.61,1781444304152286010,1781444304153370270,1.084,1
11246790577485880,11246790578349440,Host(NUMA 5),Device ?,16.00,19.43,1781444304152805440,1781444304153669000,0.864,1
