Linux 4.19.90-vhulk2204.1.0.h1160.eulerosv2r10.aarch64 (bms-9002) 	06/14/2026 	_aarch64_	(192 CPU)

09:37:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:37:12 PM  all    8.16    0.00    2.01    0.01    0.20    0.08    0.00    0.00    0.00   89.54
09:37:14 PM  all   31.79    0.00    3.80    0.00    0.31    0.08    0.00    0.00    0.00   64.02
09:37:16 PM  all    9.99    0.00    0.39    0.00    0.20    0.09    0.00    0.00    0.00   89.33
09:37:18 PM  all   10.60    0.00    0.52    0.00    0.16    0.08    0.00    0.00    0.00   88.64
09:37:20 PM  all    6.23    0.00    1.04    0.00    0.19    0.11    0.00    0.00    0.00   92.43
09:37:22 PM  all   18.67    0.00    0.46    0.00    0.20    0.10    0.00    0.00    0.00   80.57
09:37:24 PM  all    3.41    0.00    0.64    0.00    0.16    0.07    0.00    0.00    0.00   95.72
09:37:26 PM  all    2.92    0.00    2.66    0.01    0.18    0.09    0.00    0.00    0.00   94.14
09:37:28 PM  all    4.37    0.00    1.59    0.00    0.17    0.10    0.00    0.00    0.00   93.78
09:37:30 PM  all    3.31    0.00    2.22    0.00    0.17    0.10    0.00    0.00    0.00   94.19
09:37:32 PM  all    2.96    0.00    1.09    0.00    0.17    0.13    0.00    0.00    0.00   95.65
09:37:34 PM  all    1.53    0.00    2.09    0.00    0.20    0.15    0.00    0.00    0.00   96.03
09:37:36 PM  all    1.12    0.00    0.80    0.00    0.18    0.13    0.00    0.00    0.00   97.78
09:37:38 PM  all    1.40    0.00    2.14    0.00    0.18    0.13    0.00    0.00    0.00   96.15
09:37:40 PM  all    1.18    0.00    0.96    0.00    0.23    0.20    0.00    0.00    0.00   97.43
09:37:42 PM  all    1.22    0.00    1.60    0.00    0.44    0.52    0.00    0.00    0.00   96.21
09:37:44 PM  all    0.87    0.00    1.47    0.00    0.43    0.50    0.00    0.00    0.00   96.73
09:37:46 PM  all    0.81    0.00    1.43    0.00    0.44    0.47    0.00    0.00    0.00   96.85
09:37:48 PM  all    0.84    0.00    1.54    0.00    0.46    0.52    0.00    0.00    0.00   96.62
09:37:50 PM  all    0.84    0.00    1.40    0.00    0.43    0.49    0.00    0.00    0.00   96.84
09:37:52 PM  all    0.77    0.00    1.49    0.00    0.45    0.52    0.00    0.00    0.00   96.77
09:37:54 PM  all    1.49    0.00    1.61    0.00    0.47    0.48    0.00    0.00    0.00   95.94
09:37:56 PM  all    0.89    0.00    1.51    0.00    0.47    0.53    0.00    0.00    0.00   96.60
09:37:58 PM  all    0.96    0.00    1.51    0.00    0.48    0.52    0.00    0.00    0.00   96.53
09:38:00 PM  all    0.96    0.00    1.51    0.00    0.45    0.49    0.00    0.00    0.00   96.58
09:38:02 PM  all    1.10    0.00    1.53    0.00    0.48    0.51    0.00    0.00    0.00   96.38
09:38:04 PM  all    0.98    0.00    1.50    0.00    0.44    0.50    0.00    0.00    0.00   96.58
09:38:06 PM  all    1.60    0.00    1.42    0.00    0.43    0.47    0.00    0.00    0.00   96.07
09:38:08 PM  all    1.05    0.00    1.45    0.00    0.45    0.51    0.00    0.00    0.00   96.54
09:38:10 PM  all    0.95    0.00    1.37    0.00    0.43    0.47    0.00    0.00    0.00   96.77
09:38:12 PM  all    1.13    0.00    1.53    0.00    0.44    0.50    0.00    0.00    0.00   96.39
