Linux 4.19.90-vhulk2204.1.0.h1160.eulerosv2r10.aarch64 (bms-9002) 	06/14/2026 	_aarch64_	(192 CPU)

09:37:10 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:37:12 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:14 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:16 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:18 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:20 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:22 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:24 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:26 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:28 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:30 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:32 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:34 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:36 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:38 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:40 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:42 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:44 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:46 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:48 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:50 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:52 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:54 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:56 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:37:58 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:00 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:02 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:04 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:06 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:08 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:10 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:12 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:14 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:16 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:18 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:20 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:22 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:24 PM     0   1960295   23.50    9.50    0.00    0.00   33.00   172  python3
09:38:26 PM     0   1960295   17.50    7.50    0.00    0.00   25.00   172  python3
09:38:28 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:30 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:32 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:34 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:36 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:38 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:40 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:42 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:44 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:46 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:48 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:50 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:52 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:54 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
