PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
1961790,1961790,Host(NUMA 6),NPU 2,0.06,41.69,1.57,11246712730382320,11246712730424010,1781444226307876100,1781444226307917790
1961790,1961790,Host(NUMA 6),NPU 2,0.06,32.66,2.01,11246712753912070,11246712753944730,1781444226329053470,1781444226329086130
1961644,1961644,Host(NUMA 4),NPU 0,0.06,37.28,1.76,11246712807109110,11246712807146390,1781444226382292580,1781444226382329860
1961644,1961644,Host(NUMA 4),NPU 0,0.06,30.56,2.14,11246712808453180,11246712808483740,1781444226383551180,1781444226383581740
1961715,1961715,Host(NUMA 3),NPU 1,0.06,37.19,1.76,11246712968663950,11246712968701140,1781444226544168440,1781444226544205630
1961715,1961715,Host(NUMA 3),NPU 1,0.06,36.08,1.82,11246713030963260,11246713030999340,1781444226606412050,1781444226606448130
1961865,1961865,Host(NUMA 7),NPU 3,0.06,37.95,1.73,11246717202464960,11246717202502910,1781444230777949090,1781444230777987040
1961865,1961865,Host(NUMA 7),NPU 3,0.06,36.86,1.78,11246717256266010,11246717256302870,1781444230831631590,1781444230831668450
1961938,1961938,Host(NUMA 2),NPU 4,0.06,36.42,1.80,11246720813639800,11246720813676220,1781444234389132660,1781444234389169080
1961938,1961938,Host(NUMA 2),NPU 4,0.06,39.66,1.65,11246720830320430,11246720830360090,1781444234405432090,1781444234405471750
1962160,1962160,Host(NUMA 0),NPU 7,0.06,38.26,1.71,11246721184883480,11246721184921740,1781444234760322660,1781444234760360920
1962160,1962160,Host(NUMA 0),NPU 7,0.06,40.50,1.62,11246721204746980,11246721204787480,1781444234779868530,1781444234779909030
1962011,1962011,Host(NUMA 5),NPU 5,0.06,30.79,2.13,11246725285536920,11246725285567710,1781444238861003930,1781444238861034720
1962011,1962011,Host(NUMA 5),NPU 5,0.06,29.82,2.20,11246725341849520,11246725341879340,1781444238916962390,1781444238916992210
1962085,1962085,Host(NUMA 1),NPU 6,0.06,39.26,1.67,11246725413664250,11246725413703510,1781444238988792490,1781444238988831750
1962085,1962085,Host(NUMA 1),NPU 6,0.06,33.40,1.96,11246725501061040,11246725501094440,1781444239076158400,1781444239076191800
1962011,1974998,Host(NUMA 5),Device ?,509.88,28177.37,18.97,11246790544151140,11246790572328510,1781444304119664530,1781444304147841900
1962011,1974998,Host(NUMA 5),Device ?,12.00,1175.11,10.71,11246790572447620,11246790573622730,1781444304147545920,1781444304148721030
1962011,1974998,Host(NUMA 5),Device ?,4.00,498.76,8.41,11246790573678450,11246790574177210,1781444304148772300,1781444304149271060
1962011,1974998,Host(NUMA 5),Device ?,16.00,967.05,17.35,11246790574228910,11246790575195960,1781444304149317130,1781444304150284180
1962011,1974998,Host(NUMA 5),Device ?,16.00,955.96,17.55,11246790575251280,11246790576207240,1781444304150339600,1781444304151295560
1962011,1974998,Host(NUMA 5),Device ?,12.00,791.42,15.90,11246790576258470,11246790577049890,1781444304151345270,1781444304152136690
1961865,1973184,Host(NUMA 7),Device ?,509.88,28244.67,18.93,11246790548838940,11246790577083610,1781444304124243850,1781444304152488520
1962011,1974998,Host(NUMA 5),Device ?,4.00,343.72,12.20,11246790577098600,11246790577442320,1781444304152413960,1781444304152757680
1961865,1973184,Host(NUMA 7),Device ?,12.00,1084.26,11.61,11246790577203520,11246790578287780,1781444304152286010,1781444304153370270
1962011,1974998,Host(NUMA 5),Device ?,16.00,863.56,19.43,11246790577485880,11246790578349440,1781444304152805440,1781444304153669000
1961865,1973184,Host(NUMA 7),Device ?,4.00,479.44,8.75,11246790578344570,11246790578824010,1781444304153484900,1781444304153964340
1962011,1974998,Host(NUMA 5),Device ?,16.00,870.26,19.28,11246790578393290,11246790579263550,1781444304153477100,1781444304154347360
