PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2730429,2730429,Host(NUMA 2),NPU 0,1039.50,61308.45,17.78,11427496521098460,11427496582406910,1781625010098090330,1781625010159398780
2730429,2730429,Host(NUMA 4),NPU 0,1039.51,86020.54,12.67,11427497011951810,11427497097972350,1781625010587318360,1781625010673338900
2730429,2730429,Host(NUMA 4),NPU 0,31.50,4267.78,7.74,11427497262094460,11427497266362240,1781625010837231750,1781625010841499530
2730429,2730429,Host(NUMA 4),NPU 0,0.01,53.38,0.17,11427497273180640,11427497273234020,1781625010848295570,1781625010848348950
2730429,2730429,Host(NUMA 4),NPU 0,24.50,30424.67,0.84,11427497273417680,11427497303842350,1781625010848548670,1781625010878973340
2730429,2730429,Host(NUMA 4),NPU 0,259.00,26358.68,10.30,11427497304526720,11427497330885400,1781625010879641830,1781625010906000510
2730429,2730429,Host(NUMA 4),NPU 0,129.50,13919.69,9.76,11427497385376300,11427497399295990,1781625010960495200,1781625010974414890
2730429,2730429,Host(NUMA 4),NPU 0,0.01,72.88,0.10,11427497424223270,11427497424296150,1781625010999339300,1781625010999412180
2730429,2730429,Host(NUMA 4),NPU 0,0.01,57.72,0.12,11427497424409940,11427497424467660,1781625010999523560,1781625010999581280
2730429,2730429,Host(NUMA 4),NPU 0,31.50,3474.80,9.51,11427497424660780,11427497428135580,1781625010999739410,1781625011003214210
2730429,2730429,Host(NUMA 4),NPU 0,0.01,45.62,0.20,11427497434248860,11427497434294480,1781625011009363960,1781625011009409580
2730429,2730429,Host(NUMA 4),NPU 0,24.50,29083.82,0.88,11427497434485060,11427497463568880,1781625011009626120,1781625011038709940
2730429,2730429,Host(NUMA 4),NPU 0,259.00,22360.59,12.15,11427497464206080,11427497486566670,1781625011039320770,1781625011061681360
2730429,2730429,Host(NUMA 4),NPU 0,129.50,13227.28,10.27,11427497531688610,11427497544915890,1781625011106806040,1781625011120033320
2730429,2730429,Host(NUMA 4),NPU 0,0.01,51.49,0.14,11427497568919910,11427497568971400,1781625011144037090,1781625011144088580
2730429,2730429,Host(NUMA 4),NPU 0,0.01,35.45,0.20,11427497569084290,11427497569119740,1781625011144221970,1781625011144257420
2730429,2730429,Host(NUMA 4),NPU 0,31.50,3223.47,10.25,11427497569456410,11427497572679880,1781625011144533660,1781625011147757130
2730429,2730429,Host(NUMA 4),NPU 0,0.01,41.79,0.22,11427497578527480,11427497578569270,1781625011153639570,1781625011153681360
2730429,2730429,Host(NUMA 4),NPU 0,24.50,28467.34,0.90,11427497578753400,11427497607220740,1781625011153904510,1781625011182371850
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18792.67,14.45,11427497607895830,11427497626688500,1781625011183031390,1781625011201824060
2730429,2730429,Host(NUMA 4),NPU 0,129.50,11848.14,11.46,11427497669145980,11427497680994120,1781625011244289630,1781625011256137770
2730429,2730429,Host(NUMA 4),NPU 0,0.01,47.16,0.15,11427497704236920,11427497704284080,1781625011279363590,1781625011279410750
2730429,2730429,Host(NUMA 4),NPU 0,0.01,34.55,0.21,11427497704394730,11427497704429280,1781625011279545290,1781625011279579840
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2646.82,12.48,11427497704649700,11427497707296520,1781625011279725780,1781625011282372600
2730429,2730429,Host(NUMA 4),NPU 0,0.01,64.11,0.14,11427497712948880,11427497713012990,1781625011288061440,1781625011288125550
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27902.04,0.92,11427497713199560,11427497741101600,1781625011288319640,1781625011316221680
2730429,2730429,Host(NUMA 4),NPU 0,259.00,23360.27,11.63,11427497741761480,11427497765121750,1781625011316876440,1781625011340236710
2730429,2730429,Host(NUMA 4),NPU 0,129.50,10287.10,13.20,11427497807374430,11427497817661530,1781625011382508120,1781625011392795220
2730429,2730429,Host(NUMA 4),NPU 0,0.01,85.73,0.08,11427497839500420,11427497839586150,1781625011414627210,1781625011414712940
2730429,2730429,Host(NUMA 4),NPU 0,0.01,61.22,0.12,11427497839696520,11427497839757740,1781625011414820740,1781625011414881960
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2537.40,13.02,11427497839969580,11427497842506980,1781625011415050430,1781625011417587830
2730429,2730429,Host(NUMA 4),NPU 0,0.01,65.30,0.14,11427497847928680,11427497847993980,1781625011423051930,1781625011423117230
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27341.76,0.94,11427497848188410,11427497875530170,1781625011423326930,1781625011450668690
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18567.16,14.63,11427497876359380,11427497894926540,1781625011451474500,1781625011470041660
2730429,2730429,Host(NUMA 4),NPU 0,129.50,10116.92,13.42,11427497937144280,11427497947261200,1781625011512267970,1781625011522384890
2730429,2730429,Host(NUMA 4),NPU 0,0.01,74.99,0.10,11427497968851970,11427497968926960,1781625011543968700,1781625011544043690
2730429,2730429,Host(NUMA 4),NPU 0,0.01,50.39,0.14,11427497969039630,11427497969090020,1781625011544160690,1781625011544211080
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2471.99,13.36,11427497969303130,11427497971775120,1781625011544381370,1781625011546853360
2730429,2730429,Host(NUMA 4),NPU 0,0.01,65.61,0.14,11427497977082160,11427497977147770,1781625011552195480,1781625011552261090
2730429,2730429,Host(NUMA 4),NPU 0,24.50,33652.66,0.76,11427497977333860,11427498010986520,1781625011552479330,1781625011586131990
2730429,2730429,Host(NUMA 4),NPU 0,259.00,19041.85,14.26,11427498011658180,11427498030700030,1781625011586786210,1781625011605828060
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9983.75,13.60,11427498072820480,11427498082804230,1781625011648146820,1781625011658130570
2730429,2730429,Host(NUMA 4),NPU 0,0.01,78.30,0.09,11427498104139250,11427498104217550,1781625011679315740,1781625011679394040
2730429,2730429,Host(NUMA 4),NPU 0,0.01,55.30,0.13,11427498104325160,11427498104380460,1781625011679524900,1781625011679580200
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2475.18,13.34,11427498104592440,11427498107067620,1781625011679672610,1781625011682147790
2730429,2730429,Host(NUMA 4),NPU 0,0.01,63.78,0.14,11427498112584780,11427498112648560,1781625011687709900,1781625011687773680
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27895.12,0.92,11427498112840240,11427498140735360,1781625011687969470,1781625011715864590
2730429,2730429,Host(NUMA 4),NPU 0,259.00,19302.06,14.07,11427498141528990,11427498160831050,1781625011716649110,1781625011735951170
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9955.05,13.64,11427498208398000,11427498218353050,1781625011783530540,1781625011793485590
2730429,2730429,Host(NUMA 4),NPU 0,0.01,76.68,0.09,11427498239907540,11427498239984220,1781625011815038250,1781625011815114930
2730429,2730429,Host(NUMA 4),NPU 0,0.01,56.18,0.13,11427498240104550,11427498240160730,1781625011815226270,1781625011815282450
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2552.38,12.94,11427498240354400,11427498242906780,1781625011815436400,1781625011817988780
2730429,2730429,Host(NUMA 4),NPU 0,0.01,55.68,0.17,11427498248308680,11427498248364360,1781625011823426400,1781625011823482080
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27892.11,0.92,11427498248545690,11427498276437800,1781625011823675830,1781625011851567940
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18587.71,14.61,11427498277078840,11427498295666550,1781625011852196700,1781625011870784410
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9978.26,13.61,11427498337953180,11427498347931440,1781625011913087570,1781625011923065830
2730429,2730429,Host(NUMA 4),NPU 0,0.01,78.49,0.09,11427498369663750,11427498369742240,1781625011944781640,1781625011944860130
2730429,2730429,Host(NUMA 4),NPU 0,0.01,57.87,0.12,11427498369850910,11427498369908780,1781625011944973060,1781625011945030930
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2487.52,13.28,11427498370119570,11427498372607090,1781625011945202660,1781625011947690180
2730429,2730429,Host(NUMA 4),NPU 0,0.01,58.29,0.16,11427498377946040,11427498378004330,1781625011953062470,1781625011953120760
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27749.83,0.93,11427498378194040,11427498405943870,1781625011953323140,1781625011981072970
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18412.41,14.75,11427498406720400,11427498425132810,1781625011981838170,1781625012000250580
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9765.11,13.91,11427498471914820,11427498481679930,1781625012047033230,1781625012056798340
2730429,2730429,Host(NUMA 3),NPU 0,0.01,90.41,0.08,11427498504019490,11427498504109900,1781625012079149850,1781625012079240260
2730429,2730429,Host(NUMA 4),NPU 0,0.01,153.18,0.05,11427498504231550,11427498504384730,1781625012079346800,1781625012079499980
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2500.88,13.21,11427498504664530,11427498507165410,1781625012079778720,1781625012082279600
2730429,2730429,Host(NUMA 4),NPU 0,0.01,64.20,0.14,11427498512665290,11427498512729490,1781625012087784710,1781625012087848910
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27510.28,0.93,11427498512915650,11427498540425930,1781625012088067270,1781625012115577550
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18779.73,14.46,11427498541088380,11427498559868110,1781625012116213740,1781625012134993470
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9709.38,13.99,11427498602032090,11427498611741470,1781625012177177340,1781625012186886720
2730429,2730429,Host(NUMA 4),NPU 0,0.01,76.26,0.09,11427498633337940,11427498633414200,1781625012208459370,1781625012208535630
