pid,tid,src_dev,dst_dev,src_numa,dst_numa,size_mb,latency_us,bw_gbps,start_ns,end_ns,wall_start_ns,wall_end_ns,direction,async_flag,api_type,stream_id,path_id,link_bitmap,quality_flags
2771202,2771202,4294967295,2,0,255,406.85,127727.56,3.19,1000000000000,1000127727562,1777456000000000000,1777456000127727562,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,25.69,3690.59,6.96,1000128841562,1000132532152,1777456000128841562,1777456000132532152,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,134.22,149337.03,0.90,1000134965152,1000284302180,1777456000134965152,1777456000284302180,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,271.58,43390.67,6.26,1000284885180,1000328275853,1777456000284885180,1777456000328275853,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,406.85,56565.87,7.19,1000330773853,1000387339726,1777456000330773853,1777456000387339726,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,271.58,84473.35,3.21,1000389257726,1000473731071,1777456000389257726,1777456000473731071,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,33.03,4611.53,7.16,1000473957071,1000478568602,1777456000473957071,1777456000478568602,1,0,0,0,0,0,128
2771202,2771202,4294967295,2,0,255,33.03,3441.43,9.60,1000480161602,1000483603029,1777456000480161602,1777456000483603029,1,0,0,0,0,0,128
2771202,2771203,4294967295,2,0,255,67.11,7833.92,8.57,1000557181029,1000565014949,1777456000557181029,1777456000565014949,1,0,0,0,0,0,128
2771202,2771203,4294967295,2,0,255,25.69,3443.96,7.46,1000567686949,1000571130904,1777456000567686949,1777456000571130904,1,0,0,0,0,0,128
2771202,2771203,4294967295,2,0,255,134.22,100108.55,1.34,1000573526904,1000673635458,1777456000573526904,1777456000673635458,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,1090.52,272672.76,4.00,1001119035458,1001391708215,1777456001119035458,1777456001391708215,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,25.69,3769.16,6.82,1001392695215,1001396464373,1777456001392695215,1777456001396464373,1,0,0,0,0,0,128
2771207,2771209,4294967295,7,0,255,1090.52,391114.56,2.79,1001397849373,1001788963931,1777456001397849373,1777456001788963931,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,134.22,20412.00,6.58,1001789576931,1001809988927,1777456001789576931,1777456001809988927,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,67.11,26118.84,2.57,1001811682927,1001837801767,1777456001811682927,1777456001837801767,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,406.85,60800.34,6.69,1001839094767,1001899895111,1777456001839094767,1777456001899895111,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,271.58,36435.31,7.45,1001902590111,1001939025416,1777456001902590111,1777456001939025416,1,0,0,0,0,0,128
2771202,2771204,4294967295,2,0,255,67.11,6777.63,9.90,1001939894416,1001946672048,1777456001939894416,1777456001946672048,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,67.11,7874.03,8.52,1002321493048,1002329367080,1777456002321493048,1777456002329367080,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,25.69,3145.43,8.17,1002329796080,1002332941513,1777456002329796080,1777456002332941513,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,33.03,3596.69,9.18,1002334784513,1002338381204,1777456002334784513,1777456002338381204,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,67.11,25824.12,2.60,1002340904204,1002366728321,1777456002340904204,1777456002366728321,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,406.85,82806.90,4.91,1002368972321,1002451779223,1777456002368972321,1777456002451779223,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,406.85,69228.71,5.88,1002453063223,1002522291936,1777456002453063223,1777456002522291936,1,0,0,0,0,0,128
2771202,2771205,4294967295,2,0,255,134.22,14847.86,9.04,1002523567936,1002538415793,1777456002523567936,1777456002538415793,1,0,0,0,0,0,128
2771207,2771211,4294967295,7,0,255,33.03,6128.56,5.39,1002745250793,1002751379349,1777456002745250793,1777456002751379349,1,0,0,0,0,0,128
2771202,2771206,4294967295,2,0,255,1090.52,668742.15,1.63,1002751951349,1003420693496,1777456002751951349,1777456003420693496,1,0,0,0,0,0,128
2771202,2771206,4294967295,2,0,255,406.85,89058.77,4.57,1003423463496,1003512522261,1777456003423463496,1777456003512522261,1,0,0,0,0,0,128
2771202,2771206,4294967295,2,0,255,271.58,27257.50,9.96,1003512982261,1003540239757,1777456003512982261,1777456003540239757,1,0,0,0,0,0,128
2771202,2771207,4294967295,2,0,255,25.69,3672.82,6.99,1003690606757,1003694279572,1777456003690606757,1777456003694279572,1,0,0,0,0,0,128
2771202,2771207,4294967295,2,0,255,271.58,35462.56,7.66,1003694948572,1003730411130,1777456003694948572,1777456003730411130,1,0,0,0,0,0,128
2771202,2771207,4294967295,2,0,255,67.11,14318.72,4.69,1003733236130,1003747554846,1777456003733236130,1777456003747554846,1,0,0,0,0,0,128
2771200,2771205,4294967295,0,0,255,406.85,46059.85,8.83,1003749612846,1003795672698,1777456003749612846,1777456003795672698,1,0,0,0,0,0,128
2771206,2771211,4294967295,6,0,255,1090.52,478438.91,2.28,1003796950698,1004275389603,1777456003796950698,1777456004275389603,1,0,0,0,0,0,128
2771202,2771207,4294967295,2,0,255,67.11,7884.32,8.51,1004276024603,1004283908918,1777456004276024603,1777456004283908918,1,0,0,0,0,0,128
2771202,2771207,4294967295,2,0,255,33.03,8027.18,4.11,1004286187918,1004294215093,1777456004286187918,1777456004294215093,1,0,0,0,0,0,128
2771204,2771210,4294967295,4,0,255,271.58,21114.44,12.86,1004591076093,1004612190537,1777456004591076093,1777456004612190537,1,0,0,0,0,0,128
2771202,2771208,4294967295,2,0,255,67.11,7574.38,8.86,1004612469537,1004620043913,1777456004612469537,1777456004620043913,1,0,0,0,0,0,128
2771202,2771208,4294967295,2,0,255,33.03,3730.83,8.85,1004621502913,1004625233745,1777456004621502913,1777456004625233745,1,0,0,0,0,0,128
2771202,2771208,4294967295,2,0,255,134.22,16228.26,8.27,1004625755745,1004641984002,1777456004625755745,1777456004641984002,1,0,0,0,0,0,128
2771202,2771208,4294967295,2,0,255,33.03,4856.19,6.80,1004644365002,1004649221192,1777456004644365002,1777456004649221192,1,0,0,0,0,0,128
2771202,2771208,4294967295,2,0,255,271.58,30858.45,8.80,1004651672192,1004682530637,1777456004651672192,1777456004682530637,1,0,0,0,0,0,128
2771206,2771212,4294967295,6,0,255,271.58,35272.61,7.70,1004684463637,1004719736243,1777456004684463637,1777456004719736243,1,0,0,0,0,0,128
2771202,2771209,4294967295,2,0,255,406.85,60643.37,6.71,1005105759243,1005166402611,1777456005105759243,1777456005166402611,1,0,0,0,0,0,128
2771203,2771210,4294967295,3,0,255,134.22,77250.31,1.74,1005168396611,1005245646916,1777456005168396611,1777456005245646916,1,0,0,0,0,0,128
2771202,2771209,4294967295,2,0,255,25.69,4190.81,6.13,1005246766916,1005250957729,1777456005246766916,1777456005250957729,1,0,0,0,0,0,128
2771202,2771209,4294967295,2,0,255,25.69,20270.97,1.27,1005252099729,1005272370700,1777456005252099729,1777456005272370700,1,0,0,0,0,0,128
2771202,2771209,4294967295,2,0,255,25.69,2819.70,9.11,1005275154700,1005277974396,1777456005275154700,1777456005277974396,1,0,0,0,0,0,128
