WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
716340471897747,716340474783487,Host(NUMA 0),NPU 2,24.50,8.90,1777455000471492872,1777455000474378612,2.886,1
716340474914468,716340478563781,Host(NUMA 0),NPU 2,31.50,9.05,1777455000473516458,1777455000477165771,3.649,1
716340479001492,716340515246479,Host(NUMA 0),NPU 2,259.00,7.49,1777455000477795313,1777455000514040300,36.245,1
716340515442750,716340531075254,Host(NUMA 0),NPU 2,129.50,8.69,1777455000514044541,1777455000529677045,15.633,1
716340531473936,716340534491416,Host(NUMA 0),NPU 2,24.50,8.51,1777455000530067907,1777455000533085387,3.017,1
716340534604077,716340538369420,Host(NUMA 0),NPU 2,31.50,8.77,1777455000533192868,1777455000536958211,3.765,1
716340538777971,716340566819820,Host(NUMA 0),NPU 2,259.00,9.68,1777455000537522842,1777455000565564691,28.042,1
716340567004630,716340582380154,Host(NUMA 0),NPU 2,129.50,8.83,1777455000565669261,1777455000581044785,15.376,1
716340582774685,716340585880376,Host(NUMA 0),NPU 2,24.50,8.27,1777455000581367926,1777455000584473617,3.106,1
716340587498602,716340591988988,Host(NUMA 2),NPU 4,24.50,5.72,1777455000586114692,1777455000590605078,4.490,1
716340585993327,716340589848560,Host(NUMA 0),NPU 2,31.50,8.57,1777455000584584428,1777455000588439661,3.855,1
716340590248402,716340618108459,Host(NUMA 0),NPU 2,259.00,9.75,1777455000589007723,1777455000616867780,27.860,1
716340618295950,716340632445189,Host(NUMA 0),NPU 2,129.50,9.60,1777455000616976791,1777455000631126030,14.149,1
716340592144488,716340597805308,Host(NUMA 2),NPU 4,31.50,5.83,1777455000590751189,1777455000596412009,5.661,1
716340632912501,716340635877911,Host(NUMA 0),NPU 2,24.50,8.66,1777455000631518042,1777455000634483452,2.965,1
716340598269600,716340638103689,Host(NUMA 2),NPU 4,259.00,6.82,1777455000596850791,1777455000636684880,39.834,1
716340638316740,716340657600167,Host(NUMA 2),NPU 4,129.50,7.04,1777455000637046792,1777455000656330219,19.283,1
716340658011699,716340661669872,Host(NUMA 2),NPU 4,24.50,7.02,1777455000656601929,1777455000660260102,3.658,1
716340635985232,716340639503794,Host(NUMA 0),NPU 2,31.50,9.39,1777455000634556223,1777455000638074785,3.519,1
716340673626984,716340677311807,Host(NUMA 0),NPU 5,24.50,6.97,1777455000672270334,1777455000675955157,3.685,1
716340666447728,716340680750059,Host(NUMA 2),NPU 2,129.50,9.49,1777455000665046548,1777455000679348879,14.302,1
716340681355261,716340684629772,Host(NUMA 2),NPU 2,24.50,7.85,1777455000679927452,1777455000683201963,3.275,1
716340661781662,716340666077527,Host(NUMA 2),NPU 4,31.50,7.69,1777455000660393673,1777455000664689538,4.296,1
716340701428131,716340704595022,Host(NUMA 1),NPU 3,24.50,8.11,1777455000700001082,1777455000703167973,3.167,1
716340677445097,716340682283624,Host(NUMA 0),NPU 5,31.50,6.83,1777455000676016708,1777455000680855235,4.839,1
716340687588883,716340703898260,Host(NUMA 1),NPU 2,259.00,16.65,1777455000686251534,1777455000702560911,16.309,1
716340684763453,716340687167211,Host(NUMA 2),NPU 2,31.50,13.74,1777455000683334904,1777455000685738662,2.404,1
716340682775576,716340711922788,Host(NUMA 0),NPU 5,259.00,9.32,1777455000681355346,1777455000710502558,29.147,1
716340666690469,716340704588502,Host(NUMA 2),NPU 4,259.00,7.17,1777455000665421040,1777455000703319073,37.898,1
716340723155567,716340725254474,Host(NUMA 2),NPU 2,24.50,12.24,1777455000721719768,1777455000723818675,2.099,1
716340712145788,716340726773090,Host(NUMA 0),NPU 5,129.50,9.28,1777455000710711428,1777455000725338730,14.627,1
716340704760203,716340727368722,Host(NUMA 2),NPU 4,129.50,6.01,1777455000703319603,1777455000725928122,22.609,1
716340727309542,716340730310582,Host(NUMA 0),NPU 5,24.50,8.56,1777455000725869113,1777455000728870153,3.001,1
716340727789003,716340732266009,Host(NUMA 2),NPU 4,24.50,5.74,1777455000726344964,1777455000730821970,4.477,1
716340725382395,716340727847743,Host(NUMA 2),NPU 2,31.50,13.40,1777455000723947456,1777455000726412804,2.465,1
716340704698072,716340709334839,Host(NUMA 1),NPU 3,31.50,7.12,1777455000703262762,1777455000707899529,4.637,1
716340728264455,716340744047040,Host(NUMA 2),NPU 2,259.00,17.21,1777455000726825296,1777455000742607881,15.783,1
716340709820530,716340746626669,Host(NUMA 1),NPU 3,259.00,7.38,1777455000708376141,1777455000745182280,36.806,1
716340730421683,716340734318826,Host(NUMA 0),NPU 5,31.50,8.48,1777455000728981084,1777455000732878227,3.897,1
716340746823400,716340761614522,Host(NUMA 1),NPU 3,129.50,9.18,1777455000745373440,1777455000760164562,14.791,1
716340744199831,716340761073200,Host(NUMA 2),NPU 2,129.50,8.05,1777455000742771551,1777455000759644920,16.873,1
716340761520601,716340764907223,Host(NUMA 2),NPU 2,24.50,7.59,1777455000760241142,1777455000763627764,3.387,1
716340761954283,716340764923583,Host(NUMA 1),NPU 3,24.50,8.65,1777455000760491384,1777455000763460684,2.969,1
716340734746468,716340762121014,Host(NUMA 0),NPU 5,259.00,9.92,1777455000733303878,1777455000760678424,27.375,1
716340762313344,716340773347033,Host(NUMA 0),NPU 5,129.50,12.31,1777455000760882874,1777455000771916563,11.034,1
716340773809704,716340775952422,Host(NUMA 0),NPU 5,24.50,11.99,1777455000772385675,1777455000774528393,2.143,1
716340732380749,716340737905149,Host(NUMA 2),NPU 4,31.50,5.98,1777455000730938879,1777455000736463279,5.524,1
716340765025014,716340767495222,Host(NUMA 2),NPU 2,31.50,13.37,1777455000763578675,1777455000766048883,2.470,1
716340765008734,716340768808367,Host(NUMA 1),NPU 3,31.50,8.69,1777455000763555774,1777455000767355407,3.800,1
716340776075362,716340778509961,Host(NUMA 0),NPU 5,31.50,13.57,1777455000774635602,1777455000777070201,2.435,1
716340778909982,716340799875656,Host(NUMA 0),NPU 5,259.00,12.95,1777455000777666053,1777455000798631727,20.966,1
716340738342920,716340788524226,Host(NUMA 2),NPU 4,259.00,5.41,1777455000736911061,1777455000787092367,50.181,1
716340800091796,716340811467426,Host(NUMA 0),NPU 5,129.50,11.94,1777455000798654997,1777455000810030627,11.376,1
716340769138948,716340799840586,Host(NUMA 1),NPU 3,259.00,8.85,1777455000767669158,1777455000798370796,30.702,1
716340788711577,716340811551867,Host(NUMA 2),NPU 4,129.50,5.95,1777455000787468628,1777455000810308918,22.840,1
716340639971986,716340666273688,Host(NUMA 0),NPU 2,259.00,10.33,1777455000638678477,1777455000664980179,26.302,1
716340811847978,716340814269046,Host(NUMA 0),NPU 5,24.50,10.61,1777455000810403619,1777455000812824687,2.421,1
716340800032556,716340815361270,Host(NUMA 1),NPU 3,129.50,8.86,1777455000798578526,1777455000813907240,15.329,1
716340815686941,716340818545771,Host(NUMA 1),NPU 3,24.50,8.99,1777455000814234982,1777455000817093812,2.859,1
716340811930288,716340816354293,Host(NUMA 2),NPU 4,24.50,5.81,1777455000810487679,1777455000814911684,4.424,1
716340814374586,716340816930085,Host(NUMA 0),NPU 5,31.50,12.93,1777455000812897947,1777455000815453446,2.555,1
716340818633761,716340822253264,Host(NUMA 1),NPU 3,31.50,9.13,1777455000817183632,1777455000820803135,3.620,1
716340817349427,716340842636875,Host(NUMA 0),NPU 5,259.00,10.74,1777455000815932428,1777455000841219876,25.287,1
716340842846766,716340856193253,Host(NUMA 0),NPU 5,129.50,10.17,1777455000841406766,1777455000854753253,13.346,1
716340816466384,716340822301794,Host(NUMA 2),NPU 4,31.50,5.66,1777455000815245656,1777455000821081066,5.835,1
716340856591994,716340858515061,Host(NUMA 0),NPU 5,24.50,13.36,1777455000855147685,1777455000857070752,1.923,1
716340822590945,716340849968671,Host(NUMA 1),NPU 3,259.00,9.92,1777455000821148686,1777455000848526412,27.378,1
716340850152922,716340862700326,Host(NUMA 1),NPU 3,129.50,10.82,1777455000848702022,1777455000861249426,12.547,1
716340863017777,716340865679746,Host(NUMA 1),NPU 3,24.50,9.65,1777455000861565008,1777455000864226977,2.662,1
716340822759136,716340860621328,Host(NUMA 2),NPU 4,259.00,7.17,1777455000821313287,1777455000859175479,37.862,1
716340858621371,716340861391321,Host(NUMA 0),NPU 5,31.50,11.92,1777455000857175562,1777455000859945512,2.770,1
716340860773569,716340882097944,Host(NUMA 2),NPU 4,129.50,6.37,1777455000859349089,1777455000880673464,21.324,1
716340882481735,716340887424132,Host(NUMA 2),NPU 4,24.50,5.20,1777455000881038016,1777455000885980413,4.942,1
716340861801203,716340882344695,Host(NUMA 0),NPU 5,259.00,13.22,1777455000860392423,1777455000880935915,20.543,1
716340865764106,716340869291369,Host(NUMA 1),NPU 3,31.50,9.36,1777455000864310456,1777455000867837719,3.527,1
716340882546895,716340894518217,Host(NUMA 0),NPU 5,129.50,11.34,1777455000881100656,1777455000893071978,11.971,1
716340894895598,716340899751795,Host(NUMA 0),NPU 5,24.50,5.29,1777455000893452029,1777455000898308226,4.856,1
716340869704940,716340895434930,Host(NUMA 1),NPU 3,259.00,10.56,1777455000868254711,1777455000893984701,25.730,1
716340895601771,716340908296795,Host(NUMA 1),NPU 3,129.50,10.70,1777455000894149812,1777455000906844836,12.695,1
716340908612336,716340911505497,Host(NUMA 1),NPU 3,24.50,8.88,1777455000907161196,1777455000910054357,2.893,1
716340899864316,716340906166308,Host(NUMA 0),NPU 5,31.50,5.24,1777455000898420746,1777455000904722738,6.302,1
716340887531693,716340893443993,Host(NUMA 2),NPU 4,31.50,5.59,1777455000886087354,1777455000891999654,5.912,1
716340906593819,716340928948168,Host(NUMA 0),NPU 5,259.00,12.15,1777455000905168149,1777455000927522498,22.354,1
716340911586447,716340914961999,Host(NUMA 1),NPU 3,31.50,9.79,1777455000910131167,1777455000913506719,3.376,1
716340929069648,716340941052070,Host(NUMA 0),NPU 5,129.50,11.33,1777455000927625609,1777455000939608031,11.982,1
716340941409771,716340944212021,Host(NUMA 0),NPU 5,24.50,9.17,1777455000939962352,1777455000942764602,2.802,1
716340893949605,716340933353113,Host(NUMA 2),NPU 4,259.00,6.89,1777455000892504706,1777455000931908214,39.404,1
716340915286370,716340942350845,Host(NUMA 1),NPU 3,259.00,10.03,1777455000913838120,1777455000940902595,27.064,1
716340942521715,716340956151803,Host(NUMA 1),NPU 3,129.50,9.96,1777455000941077346,1777455000954707434,13.630,1
716340933514964,716340955171450,Host(NUMA 2),NPU 4,129.50,6.27,1777455000932070994,1777455000953727480,21.656,1
716340956537904,716340959395274,Host(NUMA 1),NPU 3,24.50,8.99,1777455000955082375,1777455000957939745,2.857,1
716340955543701,716340959916656,Host(NUMA 2),NPU 4,24.50,5.87,1777455000954111272,1777455000958484227,4.373,1
716340944321062,716340947132211,Host(NUMA 0),NPU 5,31.50,11.75,1777455000942879103,1777455000945690252,2.811,1
716340959477965,716340962731266,Host(NUMA 1),NPU 3,31.50,10.15,1777455000958031616,1777455000961284917,3.253,1
716340947530533,716340984514972,Host(NUMA 0),NPU 5,259.00,7.34,1777455000946102464,1777455000983086903,36.984,1
716340960042247,716340966205618,Host(NUMA 2),NPU 4,31.50,5.36,1777455000958604818,1777455000964768189,6.163,1
716340963057297,716340990027392,Host(NUMA 1),NPU 3,259.00,10.07,1777455000961606197,1777455000988576292,26.970,1
716340990196552,716341003485289,Host(NUMA 1),NPU 3,129.50,10.22,1777455000988740842,1777455001002029579,13.289,1
716341003799300,716341006597240,Host(NUMA 1),NPU 3,24.50,9.18,1777455001002344930,1777455001005142870,2.798,1
716340966643940,716341002629626,Host(NUMA 2),NPU 4,259.00,7.55,1777455000965206660,1777455001001192346,35.986,1
716341002786236,716341019862846,Host(NUMA 2),NPU 4,129.50,7.95,1777455001001371487,1777455001018448097,17.077,1
716341020347198,716341023771500,Host(NUMA 2),NPU 4,24.50,7.50,1777455001018906868,1777455001022331170,3.424,1
716341006678980,716341009925021,Host(NUMA 1),NPU 3,31.50,10.18,1777455001006079394,1777455001009325435,3.246,1
716341010252192,716341036997246,Host(NUMA 1),NPU 3,259.00,10.15,1777455001008808433,1777455001035553487,26.745,1
716341023882830,716341028212125,Host(NUMA 2),NPU 4,31.50,7.63,1777455001022438281,1777455001026767576,4.329,1
716341028623027,716341143737360,Host(NUMA 2),NPU 4,259.00,2.36,1777455001027222768,1777455001142337101,115.114,1
716341263068679,716341266276980,Host(NUMA 3),NPU 6,24.50,8.01,1777455001261673950,1777455001264882251,3.208,1
716341266402711,716341270829126,Host(NUMA 3),NPU 6,31.50,7.46,1777455001264960412,1777455001269386827,4.426,1
716341271241718,716341301401923,Host(NUMA 3),NPU 6,259.00,9.00,1777455001269832459,1777455001299992664,30.160,1
716341301631544,716341340657101,Host(NUMA 3),NPU 6,129.50,3.48,1777455001300199695,1777455001339225252,39.026,1
716341341289293,716341344694035,Host(NUMA 3),NPU 6,24.50,7.55,1777455001339848864,1777455001343253606,3.405,1
716341297550250,716341427505495,Host(NUMA 1),NPU 0,1039.50,8.39,1777455001296156851,1777455001426112096,129.955,1
716341428458069,716341431505199,Host(NUMA 1),NPU 0,24.50,8.43,1777455001427015930,1777455001430063060,3.047,1
716341449753813,716341453182936,Host(NUMA 3),NPU 7,24.50,7.49,1777455001448349003,1777455001451778126,3.429,1
716341344816906,716341348906590,Host(NUMA 3),NPU 6,31.50,8.08,1777455001343377106,1777455001347466790,4.090,1
716341431607910,716341435653774,Host(NUMA 1),NPU 0,31.50,8.16,1777455001430163931,1777455001434209795,4.046,1
716341436038605,716341464608186,Host(NUMA 1),NPU 0,259.00,9.51,1777455001434592645,1777455001463162226,28.570,1
716341464764376,716341480590972,Host(NUMA 1),NPU 0,129.50,8.58,1777455001463315476,1777455001479142072,15.827,1
716341480933583,716341483935703,Host(NUMA 1),NPU 0,24.50,8.56,1777455001479493824,1777455001482495944,3.002,1
716341453316686,716341457587671,Host(NUMA 3),NPU 7,31.50,7.73,1777455001451872307,1777455001456143292,4.271,1
716341349404152,716341458287923,Host(NUMA 3),NPU 6,259.00,2.49,1777455001347963983,1777455001456847754,108.884,1
716341458015792,716341493941568,Host(NUMA 3),NPU 7,259.00,7.56,1777455001456581063,1777455001492506839,35.926,1
