PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2771269,2771269,Host(NUMA 0),NPU 2,24.50,2885.74,8.90,716340471897747,716340474783487,1777455000471492872,1777455000474378612
2771269,2771269,Host(NUMA 0),NPU 2,31.50,3649.31,9.05,716340474914468,716340478563781,1777455000473516458,1777455000477165771
2771269,2771269,Host(NUMA 0),NPU 2,259.00,36244.99,7.49,716340479001492,716340515246479,1777455000477795313,1777455000514040300
2770322,2770322,Host(NUMA 1),Device ?,128.00,10341.58,12.98,716340517169366,716340527510942,1777455000515844287,1777455000526185863
2771269,2771269,Host(NUMA 0),NPU 2,129.50,15632.50,8.69,716340515442750,716340531075254,1777455000514044541,1777455000529677045
2771269,2771269,Host(NUMA 0),NPU 2,24.50,3017.48,8.51,716340531473936,716340534491416,1777455000530067907,1777455000533085387
2771269,2771269,Host(NUMA 0),NPU 2,31.50,3765.34,8.77,716340534604077,716340538369420,1777455000533192868,1777455000536958211
2771269,2771269,Host(NUMA 0),NPU 2,259.00,28041.85,9.68,716340538777971,716340566819820,1777455000537522842,1777455000565564691
2771269,2771269,Host(NUMA 0),NPU 2,129.50,15375.52,8.83,716340567004630,716340582380154,1777455000565669261,1777455000581044785
2771269,2771269,Host(NUMA 0),NPU 2,24.50,3105.69,8.27,716340582774685,716340585880376,1777455000581367926,1777455000584473617
2771269,2771269,Host(NUMA 0),NPU 2,31.50,3855.23,8.57,716340585993327,716340589848560,1777455000584584428,1777455000588439661
2771271,2771271,Host(NUMA 2),NPU 4,24.50,4490.39,5.72,716340587498602,716340591988988,1777455000586114692,1777455000590605078
2771271,2771271,Host(NUMA 2),NPU 4,31.50,5660.82,5.83,716340592144488,716340597805308,1777455000590751189,1777455000596412009
2771269,2771269,Host(NUMA 0),NPU 2,259.00,27860.06,9.75,716340590248402,716340618108459,1777455000589007723,1777455000616867780
2771269,2771269,Host(NUMA 0),NPU 2,129.50,14149.24,9.60,716340618295950,716340632445189,1777455000616976791,1777455000631126030
2771269,2771269,Host(NUMA 0),NPU 2,24.50,2965.41,8.66,716340632912501,716340635877911,1777455000631518042,1777455000634483452
2771271,2771271,Host(NUMA 2),NPU 4,259.00,39834.09,6.82,716340598269600,716340638103689,1777455000596850791,1777455000636684880
2771269,2771269,Host(NUMA 0),NPU 2,31.50,3518.56,9.39,716340635985232,716340639503794,1777455000634556223,1777455000638074785
2771271,2771271,Host(NUMA 2),NPU 4,129.50,19283.43,7.04,716340638316740,716340657600167,1777455000637046792,1777455000656330219
2771271,2771271,Host(NUMA 2),NPU 4,24.50,3658.17,7.02,716340658011699,716340661669872,1777455000656601929,1777455000660260102
2771271,2771271,Host(NUMA 2),NPU 4,31.50,4295.86,7.69,716340661781662,716340666077527,1777455000660393673,1777455000664689538
2771269,2771269,Host(NUMA 0),NPU 2,259.00,26301.70,10.33,716340639971986,716340666273688,1777455000638678477,1777455000664980179
2771272,2771272,Host(NUMA 0),NPU 5,24.50,3684.82,6.97,716340673626984,716340677311807,1777455000672270334,1777455000675955157
2771269,2771269,Host(NUMA 2),NPU 2,129.50,14302.33,9.49,716340666447728,716340680750059,1777455000665046548,1777455000679348879
2771272,2771272,Host(NUMA 0),NPU 5,31.50,4838.53,6.83,716340677445097,716340682283624,1777455000676016708,1777455000680855235
2771269,2771269,Host(NUMA 2),NPU 2,24.50,3274.51,7.85,716340681355261,716340684629772,1777455000679927452,1777455000683201963
2771269,2771269,Host(NUMA 2),NPU 2,31.50,2403.76,13.74,716340684763453,716340687167211,1777455000683334904,1777455000685738662
2771269,2771269,Host(NUMA 1),NPU 2,259.00,16309.38,16.65,716340687588883,716340703898260,1777455000686251534,1777455000702560911
2771270,2771270,Host(NUMA 1),NPU 3,24.50,3166.89,8.11,716340701428131,716340704595022,1777455000700001082,1777455000703167973
2771271,2771271,Host(NUMA 2),NPU 4,259.00,37898.03,7.17,716340666690469,716340704588502,1777455000665421040,1777455000703319073
2771270,2771270,Host(NUMA 1),NPU 3,31.50,4636.77,7.12,716340704698072,716340709334839,1777455000703262762,1777455000707899529
2771272,2771272,Host(NUMA 0),NPU 5,259.00,29147.21,9.32,716340682775576,716340711922788,1777455000681355346,1777455000710502558
2771269,2771269,Host(NUMA 1),NPU 2,129.50,17888.98,7.59,716340704350181,716340722239164,1777455000702936722,1777455000720825705
2771269,2771269,Host(NUMA 2),NPU 2,24.50,2098.91,12.24,716340723155567,716340725254474,1777455000721719768,1777455000723818675
2771272,2771272,Host(NUMA 0),NPU 5,129.50,14627.30,9.28,716340712145788,716340726773090,1777455000710711428,1777455000725338730
2771271,2771271,Host(NUMA 2),NPU 4,129.50,22608.52,6.01,716340704760203,716340727368722,1777455000703319603,1777455000725928122
2771269,2771269,Host(NUMA 2),NPU 2,31.50,2465.35,13.40,716340725382395,716340727847743,1777455000723947456,1777455000726412804
2771272,2771272,Host(NUMA 0),NPU 5,24.50,3001.04,8.56,716340727309542,716340730310582,1777455000725869113,1777455000728870153
2771271,2771271,Host(NUMA 2),NPU 4,24.50,4477.01,5.74,716340727789003,716340732266009,1777455000726344964,1777455000730821970
2771272,2771272,Host(NUMA 0),NPU 5,31.50,3897.14,8.48,716340730421683,716340734318826,1777455000728981084,1777455000732878227
2771271,2771271,Host(NUMA 2),NPU 4,31.50,5524.40,5.98,716340732380749,716340737905149,1777455000730938879,1777455000736463279
2771269,2771269,Host(NUMA 2),NPU 2,259.00,15782.58,17.21,716340728264455,716340744047040,1777455000726825296,1777455000742607881
