nohup: ignoring input
Waiting 15s for HCCL...
[pass2] Starting eBPF tracer...
[pass2] Tracer PID = 1705472
[pass2] Library OK: Using AscendCL library: /usr/local/Ascend/nnae/7.0.0/aarch64-linux/lib64/libascendcl.so
[pass2] Starting GLM-6B training...
[pass2] Training PID = 1706557
[pass2] Waiting for training...
output_dir is /root/mindformers/output
start training for rank 0, device 0
log saved in /root/mindformers/output/log/rank_0
start training for rank 1, device 1
log saved in /root/mindformers/output/log/rank_1
start training for rank 2, device 2
log saved in /root/mindformers/output/log/rank_2
start training for rank 3, device 3
log saved in /root/mindformers/output/log/rank_3
start training for rank 4, device 4
log saved in /root/mindformers/output/log/rank_4
start training for rank 5, device 5
log saved in /root/mindformers/output/log/rank_5
start training for rank 6, device 6
log saved in /root/mindformers/output/log/rank_6
start training for rank 7, device 7
log saved in /root/mindformers/output/log/rank_7
  [pass2] 2026-06-09 15:04:25,873 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[   48/ 7162], loss: 5.367, per_step_time: 638ms, lr: 7.2499995e-07, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:04:54,000 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[   92/ 7162], loss: 4.249, per_step_time: 637ms, lr: 1.8249999e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:05:24,657 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  140/ 7162], loss: 4.287, per_step_time: 638ms, lr: 3.0249998e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:05:55,318 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  188/ 7162], loss: 3.839, per_step_time: 637ms, lr: 4.225e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:06:25,964 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  236/ 7162], loss: 3.960, per_step_time: 637ms, lr: 5.4249995e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:06:56,599 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  284/ 7162], loss: 3.485, per_step_time: 636ms, lr: 6.6249995e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:07:24,686 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  328/ 7162], loss: 3.620, per_step_time: 638ms, lr: 7.725e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:07:55,320 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  376/ 7162], loss: 3.716, per_step_time: 636ms, lr: 8.925e-06, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:08:25,953 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  424/ 7162], loss: 3.471, per_step_time: 636ms, lr: 1.0125e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:08:56,592 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  472/ 7162], loss: 3.526, per_step_time: 636ms, lr: 1.1325e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:09:14,493 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  500/ 7162], loss: 3.907, per_step_time: 638ms, lr: 1.2025e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:09:14,493 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  500/ 7162], loss: 3.907, per_step_time: 638ms, lr: 1.2025e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:09:14,493 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  500/ 7162], loss: 3.907, per_step_time: 638ms, lr: 1.2025e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:10:55,054 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  516/ 7162], loss: 3.455, per_step_time: 636ms, lr: 1.2425e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:11:25,778 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  564/ 7162], loss: 3.412, per_step_time: 636ms, lr: 1.3625e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:11:56,437 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  612/ 7162], loss: 3.556, per_step_time: 637ms, lr: 1.4824999e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:12:27,379 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  660/ 7162], loss: 3.744, per_step_time: 637ms, lr: 1.6024998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:12:55,478 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  704/ 7162], loss: 3.665, per_step_time: 638ms, lr: 1.7125e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:13:26,191 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  752/ 7162], loss: 3.628, per_step_time: 638ms, lr: 1.8325e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:13:56,893 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  800/ 7162], loss: 3.555, per_step_time: 638ms, lr: 1.9525e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:14:27,606 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  848/ 7162], loss: 3.651, per_step_time: 638ms, lr: 2.0725e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:14:55,765 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  892/ 7162], loss: 3.624, per_step_time: 638ms, lr: 2.1825e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:15:26,487 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  940/ 7162], loss: 3.570, per_step_time: 638ms, lr: 2.3024999e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:15:57,226 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[  988/ 7162], loss: 3.531, per_step_time: 638ms, lr: 2.4224999e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:16:04,918 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1000/ 7162], loss: 3.551, per_step_time: 638ms, lr: 2.4525e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:16:04,918 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1000/ 7162], loss: 3.551, per_step_time: 638ms, lr: 2.4525e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:16:04,918 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1000/ 7162], loss: 3.551, per_step_time: 638ms, lr: 2.4525e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:17:57,252 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1040/ 7162], loss: 3.879, per_step_time: 636ms, lr: 2.5525e-05, overflow cond: False, loss_scale: 32768.0
  [pass2] 2026-06-09 15:18:27,801 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1088/ 7162], loss: 3.447, per_step_time: 637ms, lr: 2.6699998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:18:58,443 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1136/ 7162], loss: 3.600, per_step_time: 636ms, lr: 2.7900001e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:19:26,526 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1180/ 7162], loss: 3.672, per_step_time: 636ms, lr: 2.8999999e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:19:57,163 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1228/ 7162], loss: 3.683, per_step_time: 637ms, lr: 3.0199997e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:20:27,789 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1276/ 7162], loss: 3.483, per_step_time: 637ms, lr: 3.14e-05, overflow cond: False, loss_scale: 16384.0
