nohup: ignoring input
============================================================
FlowGap Online Probe Loop
  Trace log:  ../data/collected/pass2_raw.log
  Policy:     flowgap_predictive
  Budget:     2 probes/s
  Dry run:    False
  Once mode:  False
============================================================

Opening probe executor (AscendCL)...
  OK — executor ready

Waiting for trace file: ../data/collected/pass2_raw.log
  Found. Starting to poll...
  [LAT] Path 61891: 33.8µs (0.1GB/s)
  [BW] Path 61891: 8425.5µs (15.9GB/s)
  [BW] Path 39006: 8475.2µs (15.8GB/s)
  [BW] Path 39006: 6632.4µs (20.2GB/s)
  [LAT] Path 51468: 111.5µs (0.0GB/s)
  [LAT] Path 51468: 86.8µs (0.1GB/s)
  [BW] Path 58584: 8363.2µs (16.1GB/s)
  [BW] Path 58584: 6577.6µs (20.4GB/s)
  [BW] Path 58584: 6563.9µs (20.4GB/s)
  [BW] Path 58584: 6504.8µs (20.6GB/s)
  [BW] Path 39006: 6580.7µs (20.4GB/s)
  [BW] Path 39006: 8480.9µs (15.8GB/s)
  [BW] Path 24721: 9122.9µs (14.7GB/s)
  [BW] Path 24721: 6700.4µs (20.0GB/s)
  [LAT] Path 28801: 153.7µs (0.0GB/s)
  [LAT] Path 28801: 69.7µs (0.1GB/s)
  [LAT] Path 58584: 151.2µs (0.0GB/s)
  [LAT] Path 58584: 24.4µs (0.2GB/s)
  [LAT] Path 58584: 156.7µs (0.0GB/s)
  [LAT] Path 58584: 69.3µs (0.1GB/s)
  [LAT] Path 58584: 147.2µs (0.0GB/s)
  [LAT] Path 58584: 69.0µs (0.1GB/s)
  [LAT] Path 51468: 152.1µs (0.0GB/s)
  [LAT] Path 51468: 68.5µs (0.1GB/s)
  [LAT] Path 51468: 149.4µs (0.0GB/s)
  [LAT] Path 51468: 68.2µs (0.1GB/s)
  [LAT] Path 51468: 132.6µs (0.0GB/s)
  [LAT] Path 51468: 70.9µs (0.1GB/s)
  [LAT] Path 38170: 151.9µs (0.0GB/s)
  [LAT] Path 38170: 69.1µs (0.1GB/s)
  [BW] Path 38170: 6551.7µs (20.5GB/s)
  [LAT] Path 38170: 72.7µs (0.1GB/s)
  [LAT] Path 38170: 148.7µs (0.0GB/s)
  [LAT] Path 38170: 68.8µs (0.1GB/s)
  [LAT] Path 33139: 108.8µs (0.0GB/s)
  [LAT] Path 33139: 69.9µs (0.1GB/s)
  [LAT] Path 24721: 104.0µs (0.0GB/s)
  [LAT] Path 24721: 75.0µs (0.1GB/s)
  [LAT] Path 24721: 166.8µs (0.0GB/s)
  [LAT] Path 24721: 102.2µs (0.0GB/s)
  [LAT] Path 28801: 111.3µs (0.0GB/s)
  [LAT] Path 28801: 68.6µs (0.1GB/s)
  [LAT] Path 28801: 113.3µs (0.0GB/s)
  [LAT] Path 28801: 73.1µs (0.1GB/s)
  [LAT] Path 39006: 113.3µs (0.0GB/s)
  [LAT] Path 39006: 73.3µs (0.1GB/s)
  [LAT] Path 33139: 707.0µs (0.0GB/s)
  [LAT] Path 33139: 91.5µs (0.0GB/s)
  [BW] Path 61891: 6594.2µs (20.4GB/s)
  [BW] Path 61891: 6538.0µs (20.5GB/s)
  [BW] Path 61891: 6566.6µs (20.4GB/s)
  [BW] Path 61891: 6955.4µs (19.3GB/s)
  [BW] Path 61891: 7914.2µs (17.0GB/s)
  [BW] Path 61891: 6957.7µs (19.3GB/s)
  [LAT] Path 51468: 157.2µs (0.0GB/s)
  [LAT] Path 51468: 74.7µs (0.1GB/s)
  [LAT] Path 58584: 132.7µs (0.0GB/s)
  [LAT] Path 58584: 72.9µs (0.1GB/s)
  [LAT] Path 58584: 154.4µs (0.0GB/s)
  [LAT] Path 58584: 80.0µs (0.1GB/s)
  [LAT] Path 58584: 146.4µs (0.0GB/s)
  [LAT] Path 58584: 69.3µs (0.1GB/s)
  [LAT] Path 15738: 130.6µs (0.0GB/s)
  [LAT] Path 15738: 70.6µs (0.1GB/s)
  [LAT] Path 15738: 111.8µs (0.0GB/s)
  [LAT] Path 15738: 68.4µs (0.1GB/s)
  [LAT] Path 38170: 118.9µs (0.0GB/s)
  [LAT] Path 38170: 101.6µs (0.0GB/s)
  [LAT] Path 33139: 166.8µs (0.0GB/s)
  [LAT] Path 33139: 103.9µs (0.0GB/s)
  [LAT] Path 28801: 163.6µs (0.0GB/s)
  [LAT] Path 28801: 79.5µs (0.1GB/s)
  [BW] Path 61891: 6497.5µs (20.7GB/s)
  [LAT] Path 61891: 24.7µs (0.2GB/s)
  [LAT] Path 38170: 192.7µs (0.0GB/s)
  [LAT] Path 38170: 139.6µs (0.0GB/s)
  [LAT] Path 51468: 130.5µs (0.0GB/s)
  [LAT] Path 51468: 73.2µs (0.1GB/s)
  [LAT] Path 39006: 115.7µs (0.0GB/s)
  [LAT] Path 39006: 72.8µs (0.1GB/s)
  [LAT] Path 58584: 171.2µs (0.0GB/s)
  [LAT] Path 58584: 121.9µs (0.0GB/s)
  [BW] Path 61891: 6584.1µs (20.4GB/s)
  [BW] Path 61891: 6579.8µs (20.4GB/s)
  [BW] Path 61891: 6582.7µs (20.4GB/s)
  [BW] Path 61891: 6849.1µs (19.6GB/s)
  [LAT] Path 33139: 154.7µs (0.0GB/s)
  [LAT] Path 33139: 77.6µs (0.1GB/s)
  [LAT] Path 58584: 166.2µs (0.0GB/s)
  [LAT] Path 58584: 84.5µs (0.1GB/s)
  [LAT] Path 51468: 158.0µs (0.0GB/s)
  [LAT] Path 51468: 79.7µs (0.1GB/s)
  [LAT] Path 51468: 181.3µs (0.0GB/s)
  [LAT] Path 51468: 77.7µs (0.1GB/s)
  [LAT] Path 48184: 182.5µs (0.0GB/s)
  [LAT] Path 48184: 153.9µs (0.0GB/s)
  [LAT] Path 39006: 108.4µs (0.0GB/s)
  [LAT] Path 39006: 69.2µs (0.1GB/s)
  [LAT] Path 33139: 107.0µs (0.0GB/s)
  [LAT] Path 33139: 72.6µs (0.1GB/s)
  [LAT] Path 24721: 156.2µs (0.0GB/s)
  [LAT] Path 24721: 70.2µs (0.1GB/s)
  [LAT] Path 38170: 112.6µs (0.0GB/s)
  [LAT] Path 38170: 68.9µs (0.1GB/s)
  [LAT] Path 58584: 111.3µs (0.0GB/s)
  [LAT] Path 58584: 71.2µs (0.1GB/s)
  [LAT] Path 39006: 116.3µs (0.0GB/s)
  [LAT] Path 39006: 73.0µs (0.1GB/s)
  [BW] Path 28801: 6731.0µs (19.9GB/s)
  [BW] Path 28801: 6465.6µs (20.8GB/s)
  [BW] Path 28801: 6585.0µs (20.4GB/s)
  [BW] Path 28801: 6513.1µs (20.6GB/s)
  [LAT] Path 33139: 412.7µs (0.0GB/s)
  [BW] Path 33139: 6500.6µs (20.6GB/s)
  [BW] Path 28801: 6530.3µs (20.6GB/s)
  [BW] Path 28801: 9043.0µs (14.8GB/s)
  [BW] Path 28801: 6587.1µs (20.4GB/s)
  [BW] Path 28801: 6542.9µs (20.5GB/s)
  [LAT] Path 58584: 155.9µs (0.0GB/s)
  [LAT] Path 58584: 67.1µs (0.1GB/s)
  [LAT] Path 58584: 145.3µs (0.0GB/s)
  [LAT] Path 58584: 111.3µs (0.0GB/s)
  [LAT] Path 58584: 147.1µs (0.0GB/s)
  [LAT] Path 58584: 70.5µs (0.1GB/s)
  [LAT] Path 51468: 150.2µs (0.0GB/s)
  [LAT] Path 51468: 70.3µs (0.1GB/s)
  [LAT] Path 51468: 157.4µs (0.0GB/s)
  [LAT] Path 51468: 80.7µs (0.1GB/s)
  [LAT] Path 12702: 156.3µs (0.0GB/s)
  [LAT] Path 12702: 70.6µs (0.1GB/s)
  [LAT] Path 38170: 151.2µs (0.0GB/s)
  [LAT] Path 38170: 24.1µs (0.2GB/s)
  [LAT] Path 38170: 128.5µs (0.0GB/s)
  [LAT] Path 38170: 71.3µs (0.1GB/s)
  [LAT] Path 38170: 110.9µs (0.0GB/s)
  [LAT] Path 38170: 71.6µs (0.1GB/s)
  [LAT] Path 33139: 112.3µs (0.0GB/s)
  [LAT] Path 33139: 69.6µs (0.1GB/s)
  [LAT] Path 28801: 244.7µs (0.0GB/s)
  [LAT] Path 28801: 43.5µs (0.1GB/s)
  [LAT] Path 24721: 155.3µs (0.0GB/s)
  [LAT] Path 24721: 71.2µs (0.1GB/s)
  [LAT] Path 24721: 152.0µs (0.0GB/s)
  [LAT] Path 24721: 70.4µs (0.1GB/s)
  [LAT] Path 39006: 108.1µs (0.0GB/s)
  [LAT] Path 39006: 135.7µs (0.0GB/s)
  [LAT] Path 33139: 403.7µs (0.0GB/s)
  [LAT] Path 33139: 72.7µs (0.1GB/s)
  [LAT] Path 51468: 226.3µs (0.0GB/s)
  [LAT] Path 51468: 133.8µs (0.0GB/s)
  [LAT] Path 39006: 115.2µs (0.0GB/s)
  [BW] Path 39006: 6477.6µs (20.7GB/s)
